HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
335,OH- YOUNGSTOWN,83.81,96,86,108,80.88,86.65,96 [86 - 108],83.81% [80.88% - 86.65%],99,23,173,07-13-2020
336,OK- LAWTON,84.2,27,24,34,80.98,89.96,27 [24 - 34],84.2% [80.98% - 89.96%],29,7,71,07-13-2020
339,OK- OKLAHOMA CITY,84.28,278,247,336,81.06,90.02,278 [247 - 336],84.28% [81.06% - 90.02%],281,70,659,07-13-2020
340,OK- TULSA,83.88,192,170,234,80.98,89.3,192 [170 - 234],83.88% [80.98% - 89.3%],194,49,467,07-13-2020
341,OR- BEND,82.77,7,7,11,80.25,89.14,7 [7 - 11],82.77% [80.25% - 89.14%],11,1,37,07-13-2020
342,OR- EUGENE,83.06,33,29,46,80.51,90.38,33 [29 - 46],83.06% [80.51% - 90.38%],35,6,122,07-13-2020
343,OR- MEDFORD,82.74,22,19,30,80.41,88.29,22 [19 - 30],82.74% [80.41% - 88.29%],26,4,80,07-13-2020
344,OR- PORTLAND,83.51,180,160,217,80.86,88.31,180 [160 - 217],83.51% [80.86% - 88.31%],183,45,435,07-13-2020
345,OR- SALEM,84.58,14,13,19,80.92,91.47,14 [13 - 19],84.58% [80.92% - 91.47%],19,4,50,07-13-2020
346,PA- ALLENTOWN,81.14,33,29,42,80.19,83.01,33 [29 - 42],81.14% [80.19% - 83.01%],35,6,95,07-13-2020
347,PA- ALTOONA,81.67,7,6,10,80.0,84.89,7 [6 - 10],81.67% [80.0% - 84.89%],11,0,34,07-13-2020
350,PA- DANVILLE,81.16,14,13,21,80.0,84.41,14 [13 - 21],81.16% [80.0% - 84.41%],17,0,67,07-13-2020
351,PA- ERIE,80.78,14,13,23,80.0,83.5,14 [13 - 23],80.78% [80.0% - 83.5%],17,0,78,07-13-2020
352,PA- HARRISBURG,81.86,42,38,52,80.39,84.93,42 [38 - 52],81.86% [80.39% - 84.93%],42,9,113,07-13-2020
354,PA- JOHNSTOWN,80.99,7,7,9,80.0,83.38,7 [7 - 9],80.99% [80.0% - 83.38%],7,0,25,07-13-2020
355,PA- LANCASTER,82.06,21,19,28,80.5,85.71,21 [19 - 28],82.06% [80.5% - 85.71%],24,6,68,07-13-2020
356,PA- PHILADELPHIA,81.09,132,120,163,80.34,82.69,132 [120 - 163],81.09% [80.34% - 82.69%],135,42,335,07-13-2020
357,PA- PITTSBURGH,81.55,178,160,211,80.45,83.5,178 [160 - 211],81.55% [80.45% - 83.5%],180,52,409,07-13-2020
358,PA- READING,81.4,14,13,20,80.21,83.93,14 [13 - 20],81.4% [80.21% - 83.93%],19,3,56,07-13-2020
359,PA- SAYRE,80.37,0,0,2,80.0,84.03,0 [0 - 2],80.37% [80.0% - 84.03%],1,0,19,07-13-2020
360,PA- SCRANTON,81.07,6,6,10,80.0,83.17,6 [6 - 10],81.07% [80.0% - 83.17%],9,0,28,07-13-2020
362,PA- WILKES-BARRE,81.17,7,7,9,80.15,83.82,7 [7 - 9],81.17% [80.15% - 83.82%],7,1,25,07-13-2020
363,PA- YORK,82.24,14,13,18,80.6,85.29,14 [13 - 18],82.24% [80.6% - 85.29%],18,5,44,07-13-2020
364,RI- PROVIDENCE,81.07,32,29,37,80.35,82.04,32 [29 - 37],81.07% [80.35% - 82.04%],33,11,64,07-13-2020
365,SC- CHARLESTON,86.83,200,178,219,81.55,90.92,200 [178 - 219],86.83% [81.55% - 90.92%],203,46,325,07-13-2020
366,SC- COLUMBIA,85.7,210,189,229,81.6,88.83,210 [189 - 229],85.7% [81.6% - 88.83%],213,60,331,07-13-2020
367,SC- FLORENCE,84.86,62,56,68,81.27,87.61,62 [56 - 68],84.86% [81.27% - 87.61%],65,17,102,07-13-2020
368,SC- GREENVILLE,86.98,163,146,180,81.88,91.41,163 [146 - 180],86.98% [81.88% - 91.41%],166,45,273,07-13-2020
369,SC- SPARTANBURG,86.47,65,59,71,81.89,90.18,65 [59 - 71],86.47% [81.89% - 90.18%],68,20,108,07-13-2020
370,SD- RAPID CITY,80.76,0,0,2,80.0,82.47,0 [0 - 2],80.76% [80.0% - 82.47%],5,0,17,07-13-2020
371,SD- SIOUX FALLS,81.52,39,34,43,80.14,82.31,39 [34 - 43],81.52% [80.14% - 82.31%],42,4,64,07-13-2020
373,TN- CHATTANOOGA,86.77,147,140,158,84.55,89.73,147 [140 - 158],86.77% [84.55% - 89.73%],151,102,218,07-13-2020
374,TN- JACKSON,81.9,21,20,24,80.96,82.81,21 [20 - 24],81.9% [80.96% - 82.81%],25,13,38,07-13-2020
375,TN- JOHNSON CITY,83.27,28,26,30,81.49,84.68,28 [26 - 30],83.27% [81.49% - 84.68%],30,14,44,07-13-2020
376,TN- KINGSPORT,81.82,35,32,39,80.45,83.27,35 [32 - 39],81.82% [80.45% - 83.27%],36,9,65,07-13-2020
377,TN- KNOXVILLE,82.74,112,104,121,81.39,84.19,112 [104 - 121],82.74% [81.39% - 84.19%],114,58,175,07-13-2020
379,TN- MEMPHIS,83.19,197,181,216,81.38,85.24,197 [181 - 216],83.19% [81.38% - 85.24%],201,87,331,07-13-2020
380,TN- NASHVILLE,82.98,252,233,274,81.44,84.58,252 [233 - 274],82.98% [81.44% - 84.58%],254,123,392,07-13-2020
382,TX- ABILENE,87.29,94,82,108,81.28,93.63,94 [82 - 108],87.29% [81.28% - 93.63%],96,17,181,07-13-2020
383,TX- AMARILLO,89.9,145,127,164,81.8,97.24,145 [127 - 164],89.9% [81.8% - 97.24%],148,27,259,07-13-2020
385,TX- AUSTIN,100.07,699,627,760,85.63,111.1,699 [627 - 760],100.07% [85.63% - 111.1%],702,197,1088,07-13-2020
386,TX- BEAUMONT,91.76,157,140,174,82.92,99.42,157 [140 - 174],91.76% [82.92% - 99.42%],161,40,266,07-13-2020
388,TX- BRYAN,96.74,100,90,109,84.74,105.98,100 [90 - 109],96.74% [84.74% - 105.98%],102,29,159,07-13-2020
390,TX- CORPUS CHRISTI,89.65,194,171,218,81.8,97.11,194 [171 - 218],89.65% [81.8% - 97.11%],198,37,351,07-13-2020
391,TX- DALLAS,93.66,1890,1708,2040,84.24,103.31,1890 [1708 - 2040],93.66% [84.24% - 103.31%],1672,519,2854,07-13-2020
393,TX- EL PASO,92.72,346,310,376,83.35,99.82,346 [310 - 376],92.72% [83.35% - 99.82%],349,92,544,07-13-2020
394,TX- FORT WORTH,96.44,818,739,883,85.43,104.67,818 [739 - 883],96.44% [85.43% - 104.67%],823,272,1235,07-13-2020
396,TX- HARLINGEN,93.94,195,170,222,82.47,105.88,195 [170 - 222],93.94% [82.47% - 105.88%],197,35,367,07-13-2020
397,TX- HOUSTON,92.59,2585,2299,2831,83.19,104.63,2585 [2299 - 2831],92.59% [83.19% - 104.63%],2149,545,4203,07-13-2020
399,TX- LONGVIEW,90.35,68,61,76,82.33,97.49,68 [61 - 76],90.35% [82.33% - 97.49%],70,16,120,07-13-2020
400,TX- LUBBOCK,88.82,207,182,229,81.84,94.56,207 [182 - 229],88.82% [81.84% - 94.56%],210,44,348,07-13-2020
402,TX- MCALLEN,95.18,237,207,270,82.71,108.18,237 [207 - 270],95.18% [82.71% - 108.18%],240,43,447,07-13-2020
406,TX- ODESSA,90.74,136,120,153,82.09,98.5,136 [120 - 153],90.74% [82.09% - 98.5%],138,27,239,07-13-2020
411,TX- SAN ANGELO,88.05,52,46,59,81.02,94.7,52 [46 - 59],88.05% [81.02% - 94.7%],55,7,101,07-13-2020
412,TX- SAN ANTONIO,92.32,914,819,994,83.41,99.9,914 [819 - 994],92.32% [83.41% - 99.9%],891,247,1440,07-13-2020
413,TX- TEMPLE,99.67,181,161,198,84.9,111.1,181 [161 - 198],99.67% [84.9% - 111.1%],184,46,292,07-13-2020
416,TX- TYLER,92.57,197,175,218,82.99,100.82,197 [175 - 218],92.57% [82.99% - 100.82%],201,48,334,07-13-2020
417,TX- VICTORIA,86.97,51,45,56,81.3,91.47,51 [45 - 56],86.97% [81.3% - 91.47%],53,10,88,07-13-2020
418,TX- WACO,100.39,118,106,128,85.86,111.32,118 [106 - 128],100.39% [85.86% - 111.32%],121,35,187,07-13-2020
420,TX- WICHITA FALLS,89.68,63,57,69,82.75,95.94,63 [57 - 69],89.68% [82.75% - 95.94%],66,19,110,07-13-2020
421,UT- OGDEN,90.3,72,65,83,82.88,100.27,72 [65 - 83],90.3% [82.88% - 100.27%],75,21,148,07-13-2020
422,UT- PROVO,90.72,94,85,108,82.99,101.18,94 [85 - 108],90.72% [82.99% - 101.18%],96,27,191,07-13-2020
423,UT- SALT LAKE CITY,87.39,287,256,339,82.1,96.18,287 [256 - 339],87.39% [82.1% - 96.18%],291,83,639,07-13-2020
424,VT- BURLINGTON,80.0,0,0,2,80.0,80.88,0 [0 - 2],80.0% [80.0% - 80.88%],0,0,14,07-13-2020
426,VA- ARLINGTON,83.13,87,80,99,81.18,85.67,87 [80 - 99],83.13% [81.18% - 85.67%],90,34,164,07-13-2020
427,VA- CHARLOTTESVILLE,81.96,24,21,30,80.14,84.56,24 [21 - 30],81.96% [80.14% - 84.56%],27,2,64,07-13-2020
428,VA- LYNCHBURG,81.19,7,6,11,80.0,84.52,7 [6 - 11],81.19% [80.0% - 84.52%],8,0,34,07-13-2020
429,VA- NEWPORT NEWS,81.87,21,19,26,80.09,84.39,21 [19 - 26],81.87% [80.09% - 84.39%],21,1,50,07-13-2020
430,VA- NORFOLK,82.96,78,69,90,80.66,85.73,78 [69 - 90],82.96% [80.66% - 85.73%],80,18,155,07-13-2020
431,VA- RICHMOND,81.38,60,53,76,80.26,83.47,60 [53 - 76],81.38% [80.26% - 83.47%],64,12,163,07-13-2020
432,VA- ROANOKE,82.23,61,55,71,80.57,84.72,61 [55 - 71],82.23% [80.57% - 84.72%],62,16,132,07-13-2020
435,VA- WINCHESTER,88.02,72,69,77,85.25,91.04,72 [69 - 77],88.02% [85.25% - 91.04%],74,49,103,07-13-2020
437,WA- EVERETT,84.98,37,33,43,81.46,89.74,37 [33 - 43],84.98% [81.46% - 89.74%],40,12,80,07-13-2020
438,WA- OLYMPIA,84.28,28,26,32,81.33,89.04,28 [26 - 32],84.28% [81.33% - 89.04%],28,9,61,07-13-2020
439,WA- SEATTLE,83.36,178,161,206,81.1,86.67,178 [161 - 206],83.36% [81.1% - 86.67%],183,60,363,07-13-2020
440,WA- SPOKANE,83.45,127,114,154,80.93,88.3,127 [114 - 154],83.45% [80.93% - 88.3%],129,35,312,07-13-2020
441,WA- TACOMA,84.28,49,45,57,81.39,88.48,49 [45 - 57],84.28% [81.39% - 88.48%],52,17,104,07-13-2020
442,WA- YAKIMA,82.88,14,13,19,80.52,88.81,14 [13 - 19],82.88% [80.52% - 88.81%],16,3,51,07-13-2020
443,WV- CHARLESTON,93.82,332,300,352,84.7,98.64,332 [300 - 352],93.82% [84.7% - 98.64%],335,114,452,07-13-2020
444,WV- HUNTINGTON,87.21,116,105,126,82.42,90.55,116 [105 - 126],87.21% [82.42% - 90.55%],118,40,174,07-13-2020
445,WV- MORGANTOWN,87.44,128,118,137,83.46,90.44,128 [118 - 137],87.44% [83.46% - 90.44%],131,61,184,07-13-2020
446,WI- APPLETON,86.22,33,30,45,81.46,99.12,33 [30 - 45],86.22% [81.46% - 99.12%],38,9,118,07-13-2020
447,WI- GREEN BAY,83.37,52,46,69,80.75,90.93,52 [46 - 69],83.37% [80.75% - 90.93%],53,12,175,07-13-2020
448,WI- LA CROSSE,85.92,52,47,59,81.78,89.95,52 [47 - 59],85.92% [81.78% - 89.95%],56,17,95,07-13-2020
449,WI- MADISON,85.92,175,159,197,82.06,90.5,175 [159 - 197],85.92% [82.06% - 90.5%],178,62,316,07-13-2020
450,WI- MARSHFIELD,84.09,44,39,57,80.85,91.63,44 [39 - 57],84.09% [80.85% - 91.63%],48,10,137,07-13-2020
451,WI- MILWAUKEE,84.59,375,342,420,81.77,88.12,375 [342 - 420],84.59% [81.77% - 88.12%],378,146,670,07-13-2020
452,WI- NEENAH,85.1,26,23,34,80.9,94.52,26 [23 - 34],85.1% [80.9% - 94.52%],28,5,81,07-13-2020
456,WI- WAUSAU,83.74,19,17,27,80.53,92.92,19 [17 - 27],83.74% [80.53% - 92.92%],21,3,73,07-13-2020
457,WY- CASPER,81.61,7,7,10,80.29,84.56,7 [7 - 10],81.61% [80.29% - 84.56%],11,2,32,07-13-2020
303,NY- NEW YORK,81.38,212,190,285,80.43,84.41,212 [190 - 285],81.38% [80.43% - 84.41%],214,67,686,07-13-2020
