HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
344,OR- PORTLAND,83,1161,1159,1161,01-22-2020
345,OR- SALEM,84,133,133,133,01-22-2020
346,PA- ALLENTOWN,87,1557,1552,1559,01-22-2020
347,PA- ALTOONA,80,0,0,0,01-22-2020
350,PA- DANVILLE,80,63,63,63,01-22-2020
351,PA- ERIE,80,154,154,154,01-22-2020
352,PA- HARRISBURG,82,406,406,406,01-22-2020
354,PA- JOHNSTOWN,80,0,0,0,01-22-2020
355,PA- LANCASTER,84,398,398,398,01-22-2020
356,PA- PHILADELPHIA,85,4521,4519,4521,01-22-2020
357,PA- PITTSBURGH,80,793,792,793,01-22-2020
358,PA- READING,84,435,434,435,01-22-2020
359,PA- SAYRE,82,64,64,64,01-22-2020
360,PA- SCRANTON,84,272,272,272,01-22-2020
362,PA- WILKES-BARRE,83,175,175,175,01-22-2020
363,PA- YORK,83,231,231,231,01-22-2020
365,SC- CHARLESTON,81,357,357,357,01-22-2020
366,SC- COLUMBIA,82,694,694,694,01-22-2020
367,SC- FLORENCE,80,84,84,84,01-22-2020
368,SC- GREENVILLE,81,312,312,313,01-22-2020
369,SC- SPARTANBURG,81,91,91,91,01-22-2020
371,SD- SIOUX FALLS,80,141,141,142,01-22-2020
373,TN- CHATTANOOGA,80,68,68,68,01-22-2020
374,TN- JACKSON,80,0,0,0,01-22-2020
375,TN- JOHNSON CITY,80,0,0,0,01-22-2020
376,TN- KINGSPORT,80,0,0,0,01-22-2020
377,TN- KNOXVILLE,80,66,66,66,01-22-2020
379,TN- MEMPHIS,81,558,557,558,01-22-2020
380,TN- NASHVILLE,82,1580,1578,1580,01-22-2020
382,TX- ABILENE,80,0,0,0,01-22-2020
383,TX- AMARILLO,80,0,0,0,01-22-2020
385,TX- AUSTIN,83,826,826,826,01-22-2020
386,TX- BEAUMONT,80,42,42,42,01-22-2020
388,TX- BRYAN,81,84,84,84,01-22-2020
390,TX- CORPUS CHRISTI,80,42,42,42,01-22-2020
391,TX- DALLAS,82,2210,2207,2210,01-22-2020
393,TX- EL PASO,80,175,175,175,01-22-2020
394,TX- FORT WORTH,82,868,866,869,01-22-2020
396,TX- HARLINGEN,80,56,56,56,01-22-2020
397,TX- HOUSTON,81,2329,2326,2329,01-22-2020
399,TX- LONGVIEW,80,42,42,42,01-22-2020
400,TX- LUBBOCK,80,81,80,81,01-22-2020
402,TX- MCALLEN,80,70,70,70,01-22-2020
406,TX- ODESSA,80,0,0,0,01-22-2020
411,TX- SAN ANGELO,80,0,0,0,01-22-2020
412,TX- SAN ANTONIO,83,1929,1925,1929,01-22-2020
413,TX- TEMPLE,81,112,112,112,01-22-2020
416,TX- TYLER,80,82,80,82,01-22-2020
417,TX- VICTORIA,80,0,0,0,01-22-2020
418,TX- WACO,82,84,84,84,01-22-2020
420,TX- WICHITA FALLS,80,42,42,42,01-22-2020
421,UT- OGDEN,82,137,137,137,01-22-2020
422,UT- PROVO,82,152,152,152,01-22-2020
423,UT- SALT LAKE CITY,81,406,406,406,01-22-2020
424,VT- BURLINGTON,84,509,509,509,01-22-2020
426,VA- ARLINGTON,280,40502,40502,40502,01-22-2020
427,VA- CHARLOTTESVILLE,80,64,64,64,01-22-2020
428,VA- LYNCHBURG,80,0,0,0,01-22-2020
429,VA- NEWPORT NEWS,84,322,322,322,01-22-2020
430,VA- NORFOLK,83,568,567,568,01-22-2020
431,VA- RICHMOND,82,652,652,652,01-22-2020
432,VA- ROANOKE,80,0,0,0,01-22-2020
435,VA- WINCHESTER,280,13062,13062,13062,01-22-2020
437,WA- EVERETT,106,1434,1433,1434,01-22-2020
438,WA- OLYMPIA,93,644,644,644,01-22-2020
439,WA- SEATTLE,96,5984,5978,5985,01-22-2020
440,WA- SPOKANE,84,1253,1252,1253,01-22-2020
441,WA- TACOMA,101,1753,1752,1753,01-22-2020
442,WA- YAKIMA,87,315,315,315,01-22-2020
443,WV- CHARLESTON,80,0,0,0,01-22-2020
444,WV- HUNTINGTON,80,0,0,0,01-22-2020
445,WV- MORGANTOWN,80,0,0,0,01-22-2020
446,WI- APPLETON,81,77,77,77,01-22-2020
447,WI- GREEN BAY,81,118,118,118,01-22-2020
448,WI- LA CROSSE,80,42,42,42,01-22-2020
449,WI- MADISON,84,903,903,903,01-22-2020
450,WI- MARSHFIELD,80,0,0,0,01-22-2020
451,WI- MILWAUKEE,83,2184,2184,2184,01-22-2020
452,WI- NEENAH,82,98,98,98,01-22-2020
456,WI- WAUSAU,80,22,22,23,01-22-2020
457,WY- CASPER,81,48,48,48,01-22-2020
303,NY- NEW YORK,99,20560,20540,20560,01-22-2020
