HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
374,TN- JACKSON,81.89,7,6,11,80.15,85.7,7 [6 - 11],81.89% [80.15% - 85.7%],25,2,77,10-20-2020
375,TN- JOHNSON CITY,88.16,35,32,44,82.66,99.26,35 [32 - 44],88.16% [82.66% - 99.26%],76,25,181,10-20-2020
376,TN- KINGSPORT,105.33,252,230,318,90.88,143.75,252 [230 - 318],105.33% [90.88% - 143.75%],503,216,1266,10-20-2020
377,TN- KNOXVILLE,90.81,224,202,277,84.29,105.53,224 [202 - 277],90.81% [84.29% - 105.53%],451,179,1066,10-20-2020
379,TN- MEMPHIS,86.55,200,180,256,82.25,97.6,200 [180 - 256],86.55% [82.25% - 97.6%],413,142,1112,10-20-2020
380,TN- NASHVILLE,89.87,420,378,514,83.44,102.64,420 [378 - 514],89.87% [83.44% - 102.64%],843,294,1937,10-20-2020
382,TX- ABILENE,95.52,98,89,128,85.8,121.79,98 [89 - 128],95.52% [85.8% - 121.79%],206,77,555,10-20-2020
383,TX- AMARILLO,102.28,158,139,214,85.13,152.37,158 [139 - 214],102.28% [85.13% - 152.37%],334,77,1087,10-20-2020
385,TX- AUSTIN,85.11,84,78,103,82.23,91.49,84 [78 - 103],85.11% [82.23% - 91.49%],178,78,402,10-20-2020
386,TX- BEAUMONT,82.38,14,13,16,81.17,84.74,14 [13 - 16],82.38% [81.17% - 84.74%],32,16,65,10-20-2020
388,TX- BRYAN,100.78,63,58,80,88.82,133.27,63 [58 - 80],100.78% [88.82% - 133.27%],127,54,326,10-20-2020
390,TX- CORPUS CHRISTI,80.04,0,0,0,80.0,80.49,0 [0 - 0],80.04% [80.0% - 80.49%],0,0,10,10-20-2020
391,TX- DALLAS,90.02,606,554,734,84.39,101.97,606 [554 - 734],90.02% [84.39% - 101.97%],1227,537,2690,10-20-2020
393,TX- EL PASO,158.22,987,874,1380,101.06,345.54,987 [874 - 1380],158.22% [101.06% - 345.54%],2147,578,7289,10-20-2020
394,TX- FORT WORTH,100.97,523,482,626,90.45,123.62,523 [482 - 626],100.97% [90.45% - 123.62%],1050,523,2184,10-20-2020
396,TX- HARLINGEN,85.58,35,33,47,82.4,96.22,35 [33 - 47],85.58% [82.4% - 96.22%],79,34,230,10-20-2020
397,TX- HOUSTON,82.0,165,152,199,80.97,84.3,165 [152 - 199],82.0% [80.97% - 84.3%],341,166,734,10-20-2020
399,TX- LONGVIEW,86.06,17,16,23,83.5,93.99,17 [16 - 23],86.06% [83.5% - 93.99%],41,24,96,10-20-2020
400,TX- LUBBOCK,107.33,304,268,407,86.44,163.39,304 [268 - 407],107.33% [86.44% - 163.39%],653,154,1993,10-20-2020
402,TX- MCALLEN,83.52,21,20,24,81.83,86.12,21 [20 - 24],83.52% [81.83% - 86.12%],55,29,97,10-20-2020
406,TX- ODESSA,95.91,98,89,124,87.28,119.24,98 [89 - 124],95.91% [87.28% - 119.24%],205,94,507,10-20-2020
411,TX- SAN ANGELO,89.53,28,26,39,84.22,109.99,28 [26 - 39],89.53% [84.22% - 109.99%],65,29,206,10-20-2020
412,TX- SAN ANTONIO,82.2,70,64,88,81.01,85.35,70 [64 - 88],82.2% [81.01% - 85.35%],159,73,387,10-20-2020
413,TX- TEMPLE,88.75,35,33,47,83.62,102.26,35 [33 - 47],88.75% [83.62% - 102.26%],82,34,209,10-20-2020
416,TX- TYLER,88.37,64,58,78,83.99,98.08,64 [58 - 78],88.37% [83.99% - 98.08%],134,64,290,10-20-2020
417,TX- VICTORIA,80.0,0,0,1,80.0,82.22,0 [0 - 1],80.0% [80.0% - 82.22%],0,0,17,10-20-2020
418,TX- WACO,88.74,21,20,26,84.86,99.1,21 [20 - 26],88.74% [84.86% - 99.1%],52,29,114,10-20-2020
420,TX- WICHITA FALLS,125.84,137,122,195,94.78,237.1,137 [122 - 195],125.84% [94.78% - 237.1%],316,102,1084,10-20-2020
421,UT- OGDEN,113.63,119,110,146,94.66,152.47,119 [110 - 146],113.63% [94.66% - 152.47%],245,107,529,10-20-2020
422,UT- PROVO,94.66,59,54,72,86.65,112.71,59 [54 - 72],94.66% [86.65% - 112.71%],132,60,295,10-20-2020
423,UT- SALT LAKE CITY,101.8,421,382,532,88.41,133.72,421 [382 - 532],101.8% [88.41% - 133.72%],861,332,2122,10-20-2020
424,VT- BURLINGTON,93.78,113,97,199,80.95,163.4,113 [97 - 199],93.78% [80.95% - 163.4%],218,15,1321,10-20-2020
426,VA- ARLINGTON,107.24,405,375,501,94.03,143.88,405 [375 - 501],107.24% [94.03% - 143.88%],788,406,1848,10-20-2020
427,VA- CHARLOTTESVILLE,91.88,78,70,101,83.71,110.43,78 [70 - 101],91.88% [83.71% - 110.43%],166,52,427,10-20-2020
428,VA- LYNCHBURG,117.73,145,134,175,97.29,158.72,145 [134 - 175],117.73% [97.29% - 158.72%],283,130,592,10-20-2020
429,VA- NEWPORT NEWS,101.84,128,115,160,90.62,132.33,128 [115 - 160],101.84% [90.62% - 132.33%],248,121,596,10-20-2020
