HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
173,IL- URBANA,81.85,15,13,25,80.19,88.08,15 [13 - 25],81.85% [80.19% - 88.08%],19,2,84,08-04-2020
175,IL- BLOOMINGTON,84.1,7,7,11,80.75,93.48,7 [7 - 11],84.1% [80.75% - 93.48%],10,2,36,08-04-2020
179,IN- EVANSVILLE,81.85,32,28,53,80.49,88.22,32 [28 - 53],81.85% [80.49% - 88.22%],37,10,168,08-04-2020
180,IN- FORT WAYNE,81.77,36,31,64,80.23,89.99,36 [31 - 64],81.77% [80.23% - 89.99%],39,5,221,08-04-2020
181,IN- GARY,83.48,49,45,59,81.26,87.77,49 [45 - 59],83.48% [81.26% - 87.77%],52,19,117,08-04-2020
183,IN- INDIANAPOLIS,82.82,178,155,247,80.56,90.22,178 [155 - 247],82.82% [80.56% - 90.22%],181,36,656,08-04-2020
184,IN- LAFAYETTE,82.16,10,9,17,80.67,87.96,10 [9 - 17],82.16% [80.67% - 87.96%],16,5,59,08-04-2020
185,IN- MUNCIE,81.94,2,1,8,80.0,90.02,2 [1 - 8],81.94% [80.0% - 90.02%],8,0,42,08-04-2020
186,IN- MUNSTER,82.58,28,26,33,81.04,85.55,28 [26 - 33],82.58% [81.04% - 85.55%],29,12,64,08-04-2020
187,IN- SOUTH BEND,83.21,45,41,59,81.05,89.22,45 [41 - 59],83.21% [81.05% - 89.22%],49,16,141,08-04-2020
188,IN- TERRE HAUTE,81.18,1,0,7,80.0,88.53,1 [0 - 7],81.18% [80.0% - 88.53%],6,0,46,08-04-2020
190,IA- CEDAR RAPIDS,83.31,35,32,37,81.08,84.57,35 [32 - 37],83.31% [81.08% - 84.57%],36,12,51,08-04-2020
191,IA- DAVENPORT,83.12,64,58,72,80.94,85.22,64 [58 - 72],83.12% [80.94% - 85.22%],69,21,116,08-04-2020
192,IA- DES MOINES,86.53,213,190,225,81.64,88.96,213 [190 - 225],86.53% [81.64% - 88.96%],215,54,295,08-04-2020
193,IA- DUBUQUE,84.04,21,20,23,81.28,86.42,21 [20 - 23],84.04% [81.28% - 86.42%],22,7,35,08-04-2020
194,IA- IOWA CITY,82.54,47,42,51,80.77,83.76,47 [42 - 51],82.54% [80.77% - 83.76%],49,15,73,08-04-2020
195,IA- MASON CITY,83.97,25,22,27,80.27,85.05,25 [22 - 27],83.97% [80.27% - 85.05%],29,2,37,08-04-2020
196,IA- SIOUX CITY,83.98,42,38,44,80.97,85.39,42 [38 - 44],83.98% [80.97% - 85.39%],45,11,61,08-04-2020
197,IA- WATERLOO,86.37,35,32,38,81.41,89.55,35 [32 - 38],86.37% [81.41% - 89.55%],40,9,61,08-04-2020
200,KS- TOPEKA,83.57,52,47,58,81.16,85.56,52 [47 - 58],83.57% [81.16% - 85.56%],55,18,86,08-04-2020
201,KS- WICHITA,82.8,136,120,157,80.67,85.17,136 [120 - 157],82.8% [80.67% - 85.17%],138,33,256,08-04-2020
203,KY- COVINGTON,92.65,136,124,152,85.0,101.07,136 [124 - 152],92.65% [85.0% - 101.07%],139,55,232,08-04-2020
204,KY- LEXINGTON,85.76,296,263,358,81.34,93.45,296 [263 - 358],85.76% [81.34% - 93.45%],299,70,700,08-04-2020
205,KY- LOUISVILLE,87.02,335,302,394,82.16,95.03,335 [302 - 394],87.02% [82.16% - 95.03%],338,104,724,08-04-2020
207,KY- OWENSBORO,85.96,26,24,32,81.69,93.77,26 [24 - 32],85.96% [81.69% - 93.77%],28,8,65,08-04-2020
208,KY- PADUCAH,84.53,69,62,82,81.29,89.68,69 [62 - 82],84.53% [81.29% - 89.68%],73,21,157,08-04-2020
209,LA- ALEXANDRIA,82.58,23,21,28,80.71,85.75,23 [21 - 28],82.58% [80.71% - 85.75%],25,7,57,08-04-2020
210,LA- BATON ROUGE,84.0,95,85,109,81.21,87.26,95 [85 - 109],84.0% [81.21% - 87.26%],99,30,180,08-04-2020
212,LA- HOUMA,84.27,26,23,29,81.43,86.85,26 [23 - 29],84.27% [81.43% - 86.85%],29,10,48,08-04-2020
213,LA- LAFAYETTE,82.7,55,49,67,80.74,85.83,55 [49 - 67],82.7% [80.74% - 85.83%],58,16,126,08-04-2020
214,LA- LAKE CHARLES,83.6,27,24,32,80.92,86.94,27 [24 - 32],83.6% [80.92% - 86.94%],31,8,60,08-04-2020
216,LA- METAIRIE,84.77,44,39,49,81.48,87.62,44 [39 - 49],84.77% [81.48% - 87.62%],48,15,77,08-04-2020
217,LA- MONROE,83.19,25,23,30,81.3,86.16,25 [23 - 30],83.19% [81.3% - 86.16%],29,12,57,08-04-2020
218,LA- NEW ORLEANS,82.84,66,59,72,80.91,84.49,66 [59 - 72],82.84% [80.91% - 84.49%],68,22,109,08-04-2020
219,LA- SHREVEPORT,82.72,71,63,82,80.84,85.19,71 [63 - 82],82.72% [80.84% - 85.19%],74,23,142,08-04-2020
220,LA- SLIDELL,87.47,34,32,37,82.78,90.52,34 [32 - 37],87.47% [82.78% - 90.52%],37,14,53,08-04-2020
221,ME- BANGOR,80.0,0,0,0,80.0,80.46,0 [0 - 0],80.0% [80.0% - 80.46%],0,0,5,08-04-2020
222,ME- PORTLAND,80.09,0,0,1,80.0,80.34,0 [0 - 1],80.09% [80.0% - 80.34%],2,0,9,08-04-2020
223,MD- BALTIMORE,86.3,422,399,442,84.0,88.27,422 [399 - 442],86.3% [84.0% - 88.27%],425,270,558,08-04-2020
225,MD- SALISBURY,88.31,74,70,79,84.8,91.1,74 [70 - 79],88.31% [84.8% - 91.1%],77,45,104,08-04-2020
226,MD- TAKOMA PARK,92.77,161,152,168,88.08,96.16,161 [152 - 168],92.77% [88.08% - 96.16%],164,104,208,08-04-2020
227,MA- BOSTON,80.68,70,65,92,80.27,81.98,70 [65 - 92],80.68% [80.27% - 81.98%],74,30,217,08-04-2020
230,MA- SPRINGFIELD,80.72,7,7,11,80.12,82.31,7 [7 - 11],80.72% [80.12% - 82.31%],11,2,37,08-04-2020
231,MA- WORCESTER,80.81,7,7,11,80.24,82.19,7 [7 - 11],80.81% [80.24% - 82.19%],13,4,36,08-04-2020
232,MI- ANN ARBOR,82.1,65,59,80,80.77,84.9,65 [59 - 80],82.1% [80.77% - 84.9%],68,25,160,08-04-2020
233,MI- DEARBORN,81.41,19,18,24,80.49,83.28,19 [18 - 24],81.41% [80.49% - 83.28%],23,8,54,08-04-2020
234,MI- DETROIT,81.58,70,63,87,80.58,83.91,70 [63 - 87],81.58% [80.58% - 83.91%],73,27,182,08-04-2020
235,MI- FLINT,81.68,18,17,25,80.53,84.68,18 [17 - 25],81.68% [80.53% - 84.68%],22,7,62,08-04-2020
236,MI- GRAND RAPIDS,81.6,34,30,52,80.35,86.54,34 [30 - 52],81.6% [80.35% - 86.54%],36,8,151,08-04-2020
238,MI- KALAMAZOO,82.09,28,25,37,80.61,85.96,28 [25 - 37],82.09% [80.61% - 85.96%],30,9,88,08-04-2020
239,MI- LANSING,81.74,24,22,34,80.52,85.67,24 [22 - 34],81.74% [80.52% - 85.67%],26,8,87,08-04-2020
240,MI- MARQUETTE,81.03,0,0,3,80.0,84.71,0 [0 - 3],81.03% [80.0% - 84.71%],5,0,23,08-04-2020
242,MI- MUSKEGON,81.52,7,7,11,80.19,86.16,7 [7 - 11],81.52% [80.19% - 86.16%],8,1,33,08-04-2020
243,MI- PETOSKEY,81.5,0,0,3,80.0,85.78,0 [0 - 3],81.5% [80.0% - 85.78%],5,0,20,08-04-2020
244,MI- PONTIAC,81.66,16,15,21,80.59,83.97,16 [15 - 21],81.66% [80.59% - 83.97%],19,7,47,08-04-2020
245,MI- ROYAL OAK,81.24,29,26,36,80.45,83.03,29 [26 - 36],81.24% [80.45% - 83.03%],32,12,80,08-04-2020
246,MI- SAGINAW,81.0,18,16,27,80.19,83.58,18 [16 - 27],81.0% [80.19% - 83.58%],20,4,75,08-04-2020
248,MI- ST JOSEPH,83.79,7,7,9,81.32,87.28,7 [7 - 9],83.79% [81.32% - 87.28%],11,4,22,08-04-2020
249,MI- TRAVERSE CITY,81.57,6,6,9,80.2,85.5,6 [6 - 9],81.57% [80.2% - 85.5%],8,1,28,08-04-2020
250,MN- DULUTH,82.35,24,21,30,80.26,85.94,24 [21 - 30],82.35% [80.26% - 85.94%],27,3,69,08-04-2020
251,MN- MINNEAPOLIS,83.44,290,260,318,80.96,85.67,290 [260 - 318],83.44% [80.96% - 85.67%],293,82,483,08-04-2020
253,MN- ROCHESTER,81.5,35,32,38,80.42,82.15,35 [32 - 38],81.5% [80.42% - 82.15%],39,11,56,08-04-2020
254,MN- ST CLOUD,83.38,21,19,24,80.85,85.94,21 [19 - 24],83.38% [80.85% - 85.94%],23,6,42,08-04-2020
256,MN- ST PAUL,84.34,95,86,103,81.49,86.7,95 [86 - 103],84.34% [81.49% - 86.7%],99,34,153,08-04-2020
257,MS- GULFPORT,90.79,80,74,84,84.53,93.71,80 [74 - 84],90.79% [84.53% - 93.71%],83,35,106,08-04-2020
258,MS- HATTIESBURG,89.19,108,98,116,83.14,92.98,108 [98 - 116],89.19% [83.14% - 92.98%],111,38,157,08-04-2020
259,MS- JACKSON,88.11,359,322,387,82.25,91.69,359 [322 - 387],88.11% [82.25% - 91.69%],363,101,524,08-04-2020
260,MS- MERIDIAN,87.1,69,63,74,82.45,89.92,69 [63 - 74],87.1% [82.45% - 89.92%],69,24,97,08-04-2020
