HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
284,NJ- HACKENSACK,120,737,671,829,115.2,124.8,04-27-2020
285,NJ- MORRISTOWN,134,554,504,624,128.64,139.36,04-27-2020
288,NJ- NEW BRUNSWICK,116,531,483,601,111.36,120.64,04-27-2020
289,NJ- NEWARK,113,849,774,955,108.48,117.52,04-27-2020
291,NJ- PATERSON,116,220,201,247,111.36,120.64,04-27-2020
293,NM- ALBUQUERQUE,97,325,290,381,93.12,100.88,04-27-2020
295,NY- ALBANY,117,761,681,887,112.32,121.68,04-27-2020
296,NY- BINGHAMTON,92,56,49,68,88.32,95.68,04-27-2020
297,NY- BRONX,146,877,789,1001,140.16,151.84,04-27-2020
299,NY- BUFFALO,89,161,142,193,85.44,92.56,04-27-2020
300,NY- ELMIRA,88,42,37,51,84.48,91.52,04-27-2020
301,NY- EAST LONG ISLAND,154,2977,2677,3400,147.84,160.16,04-27-2020
304,NY- ROCHESTER,92,168,148,207,88.32,95.68,04-27-2020
307,NY- SYRACUSE,89,125,108,149,85.44,92.56,04-27-2020
308,NY- WHITE PLAINS,141,657,591,751,135.36,146.64,04-27-2020
309,NC- ASHEVILLE,81,12,10,17,77.76,84.24,04-27-2020
311,NC- CHARLOTTE,88,281,249,330,84.48,91.52,04-27-2020
312,NC- DURHAM,84,107,94,128,80.64,87.36,04-27-2020
313,NC- GREENSBORO,84,50,44,60,80.64,87.36,04-27-2020
314,NC- GREENVILLE,81,21,18,28,77.76,84.24,04-27-2020
315,NC- HICKORY,83,12,9,16,79.68,86.32,04-27-2020
318,NC- RALEIGH,89,213,189,252,85.44,92.56,04-27-2020
319,NC- WILMINGTON,83,17,14,25,79.68,86.32,04-27-2020
320,NC- WINSTON-SALEM,82,59,52,77,78.72,85.28,04-27-2020
321,ND- BISMARCK,86,22,19,28,82.56,89.44,04-27-2020
322,ND- FARGO MOORHEAD -MN,80,7,6,10,76.8,83.2,04-27-2020
323,ND- GRAND FORKS,80,0,0,1,76.8,83.2,04-27-2020
324,ND- MINOT,82,7,6,9,78.72,85.28,04-27-2020
325,OH- AKRON,98,248,222,290,94.08,101.92,04-27-2020
326,OH- CANTON,94,170,152,204,90.24,97.76,04-27-2020
327,OH- CINCINNATI,90,284,259,341,86.4,93.6,04-27-2020
328,OH- CLEVELAND,96,800,722,925,92.16,99.84,04-27-2020
329,OH- COLUMBUS,86,324,287,419,82.56,89.44,04-27-2020
330,OH- DAYTON,86,116,99,152,82.56,89.44,04-27-2020
331,OH- ELYRIA,105,99,89,114,100.8,109.2,04-27-2020
332,OH- KETTERING,91,66,59,78,87.36,94.64,04-27-2020
334,OH- TOLEDO,88,202,177,240,84.48,91.52,04-27-2020
335,OH- YOUNGSTOWN,90,151,135,178,86.4,93.6,04-27-2020
336,OK- LAWTON,83,19,16,22,79.68,86.32,04-27-2020
339,OK- OKLAHOMA CITY,91,443,390,528,87.36,94.64,04-27-2020
340,OK- TULSA,85,169,148,212,81.6,88.4,04-27-2020
341,OR- BEND,86,14,13,18,82.56,89.44,04-27-2020
342,OR- EUGENE,86,40,36,48,82.56,89.44,04-27-2020
343,OR- MEDFORD,83,14,12,16,79.68,86.32,04-27-2020
344,OR- PORTLAND,89,264,236,316,85.44,92.56,04-27-2020
345,OR- SALEM,92,26,23,31,88.32,95.68,04-27-2020
346,PA- ALLENTOWN,99,342,307,396,95.04,102.96,04-27-2020
347,PA- ALTOONA,80,0,0,3,76.8,83.2,04-27-2020
350,PA- DANVILLE,83,33,28,39,79.68,86.32,04-27-2020
351,PA- ERIE,82,23,20,32,78.72,85.28,04-27-2020
352,PA- HARRISBURG,86,81,70,101,82.56,89.44,04-27-2020
354,PA- JOHNSTOWN,80,1,0,3,76.8,83.2,04-27-2020
355,PA- LANCASTER,91,77,69,92,87.36,94.64,04-27-2020
356,PA- PHILADELPHIA,93,965,865,1131,89.28,96.72,04-27-2020
357,PA- PITTSBURGH,82,168,146,208,78.72,85.28,04-27-2020
358,PA- READING,91,88,79,105,87.36,94.64,04-27-2020
359,PA- SAYRE,85,12,10,16,81.6,88.4,04-27-2020
360,PA- SCRANTON,93,65,58,76,89.28,96.72,04-27-2020
362,PA- WILKES-BARRE,89,32,29,38,85.44,92.56,04-27-2020
363,PA- YORK,89,43,39,52,85.44,92.56,04-27-2020
365,SC- CHARLESTON,89,155,139,179,85.44,92.56,04-27-2020
366,SC- COLUMBIA,95,307,275,352,91.2,98.8,04-27-2020
367,SC- FLORENCE,85,35,32,48,81.6,88.4,04-27-2020
368,SC- GREENVILLE,89,129,116,148,85.44,92.56,04-27-2020
