HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
376,TN- KINGSPORT,80.89,14,12,30,80.0,89.77,14 [12 - 30],80.89% [80.0% - 89.77%],05-18-2020
377,TN- KNOXVILLE,81.04,21,19,38,80.17,86.13,21 [19 - 38],81.04% [80.17% - 86.13%],05-18-2020
379,TN- MEMPHIS,84.35,135,120,172,80.93,92.47,135 [120 - 172],84.35% [80.93% - 92.47%],05-18-2020
380,TN- NASHVILLE,85.72,232,207,325,81.67,100.65,232 [207 - 325],85.72% [81.67% - 100.65%],05-18-2020
382,TX- ABILENE,82.29,14,13,27,80.15,93.18,14 [13 - 27],82.29% [80.15% - 93.18%],05-18-2020
383,TX- AMARILLO,83.27,24,22,36,81.26,92.65,24 [22 - 36],83.27% [81.26% - 92.65%],05-18-2020
385,TX- AUSTIN,113.29,595,533,707,89.75,157.9,595 [533 - 707],113.29% [89.75% - 157.9%],05-18-2020
386,TX- BEAUMONT,90.11,70,63,89,82.26,106.5,70 [63 - 89],90.11% [82.26% - 106.5%],05-18-2020
388,TX- BRYAN,104.56,70,63,85,84.74,137.03,70 [63 - 85],104.56% [84.74% - 137.03%],05-18-2020
390,TX- CORPUS CHRISTI,86.81,69,61,92,80.93,99.64,69 [61 - 92],86.81% [80.93% - 99.64%],05-18-2020
391,TX- DALLAS,101.74,1406,1262,1674,86.91,130.58,1406 [1262 - 1674],101.74% [86.91% - 130.58%],05-18-2020
393,TX- EL PASO,90.04,141,127,181,83.21,107.21,141 [127 - 181],90.04% [83.21% - 107.21%],05-18-2020
394,TX- FORT WORTH,103.71,606,544,722,87.09,135.56,606 [544 - 722],103.71% [87.09% - 135.56%],05-18-2020
396,TX- HARLINGEN,88.29,59,52,79,81.9,105.11,59 [52 - 79],88.29% [81.9% - 105.11%],05-18-2020
397,TX- HOUSTON,98.45,1705,1524,2066,85.55,124.72,1705 [1524 - 2066],98.45% [85.55% - 124.72%],05-18-2020
399,TX- LONGVIEW,90.11,35,31,44,81.9,108.57,35 [31 - 44],90.11% [81.9% - 108.57%],05-18-2020
400,TX- LUBBOCK,87.1,86,76,119,81.34,103.81,86 [76 - 119],87.1% [81.34% - 103.81%],05-18-2020
402,TX- MCALLEN,88.21,69,61,91,81.95,104.46,69 [61 - 91],88.21% [81.95% - 104.46%],05-18-2020
406,TX- ODESSA,85.02,31,28,46,81.47,98.34,31 [28 - 46],85.02% [81.47% - 98.34%],05-18-2020
411,TX- SAN ANGELO,82.88,7,7,12,80.58,91.64,7 [7 - 12],82.88% [80.58% - 91.64%],05-18-2020
412,TX- SAN ANTONIO,108.3,1004,904,1146,88.65,135.82,1004 [904 - 1146],108.3% [88.65% - 135.82%],05-18-2020
413,TX- TEMPLE,105.62,120,107,149,86.39,145.92,120 [107 - 149],105.62% [86.39% - 145.92%],05-18-2020
416,TX- TYLER,94.41,119,106,147,83.12,117.03,119 [106 - 147],94.41% [83.12% - 117.03%],05-18-2020
417,TX- VICTORIA,87.39,22,19,31,81.17,100.34,22 [19 - 31],87.39% [81.17% - 100.34%],05-18-2020
418,TX- WACO,110.31,84,76,102,88.04,150.18,84 [76 - 102],110.31% [88.04% - 150.18%],05-18-2020
420,TX- WICHITA FALLS,88.36,28,25,38,81.3,106.67,28 [25 - 38],88.36% [81.3% - 106.67%],05-18-2020
421,UT- OGDEN,85.8,17,15,25,81.64,100.14,17 [15 - 25],85.8% [81.64% - 100.14%],05-18-2020
422,UT- PROVO,85.56,21,19,30,81.77,99.84,21 [19 - 30],85.56% [81.77% - 99.84%],05-18-2020
423,UT- SALT LAKE CITY,83.59,63,58,91,81.14,93.19,63 [58 - 91],83.59% [81.14% - 93.19%],05-18-2020
424,VT- BURLINGTON,80.62,0,0,8,80.0,87.64,0 [0 - 8],80.62% [80.0% - 87.64%],05-18-2020
426,VA- ARLINGTON,158.36,1148,1053,1359,114.32,259.95,1148 [1053 - 1359],158.36% [114.32% - 259.95%],05-18-2020
427,VA- CHARLOTTESVILLE,98.53,138,122,207,83.28,161.11,138 [122 - 207],98.53% [83.28% - 161.11%],05-18-2020
428,VA- LYNCHBURG,88.45,28,24,47,80.0,117.77,28 [24 - 47],88.45% [80.0% - 117.77%],05-18-2020
