HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
413,TX- TEMPLE,88.75,41,38,59,82.45,111.74,41 [38 - 59],88.75% [82.45% - 111.74%],05-12-2020
416,TX- TYLER,84.6,40,35,56,80.75,97.21,40 [35 - 56],84.6% [80.75% - 97.21%],05-12-2020
417,TX- VICTORIA,81.62,0,0,5,80.0,88.6,0 [0 - 5],81.62% [80.0% - 88.6%],05-12-2020
418,TX- WACO,90.31,32,29,45,84.02,118.36,32 [29 - 45],90.31% [84.02% - 118.36%],05-12-2020
420,TX- WICHITA FALLS,82.44,5,4,10,80.43,90.0,5 [4 - 10],82.44% [80.43% - 90.0%],05-12-2020
421,UT- OGDEN,87.76,28,26,36,82.74,100.82,28 [26 - 36],87.76% [82.74% - 100.82%],05-12-2020
422,UT- PROVO,87.41,32,29,41,82.55,100.07,32 [29 - 41],87.41% [82.55% - 100.07%],05-12-2020
423,UT- SALT LAKE CITY,85.15,102,93,129,81.75,93.77,102 [93 - 129],85.15% [81.75% - 93.77%],05-12-2020
424,VT- BURLINGTON,81.51,7,6,21,80.0,92.18,7 [6 - 21],81.51% [80.0% - 92.18%],05-12-2020
426,VA- ARLINGTON,177.79,1515,1388,1684,122.55,250.86,1515 [1388 - 1684],177.79% [122.55% - 250.86%],05-12-2020
427,VA- CHARLOTTESVILLE,99.45,153,135,203,84.78,142.08,153 [135 - 203],99.45% [84.78% - 142.08%],05-12-2020
428,VA- LYNCHBURG,88.06,28,24,42,80.0,106.6,28 [24 - 42],88.06% [80.0% - 106.6%],05-12-2020
429,VA- NEWPORT NEWS,115.15,215,192,278,90.97,183.78,215 [192 - 278],115.15% [90.97% - 183.78%],05-12-2020
430,VA- NORFOLK,107.45,408,367,539,89.16,163.04,408 [367 - 539],107.45% [89.16% - 163.04%],05-12-2020
431,VA- RICHMOND,105.66,657,588,840,87.91,152.34,657 [588 - 840],105.66% [87.91% - 152.34%],05-12-2020
432,VA- ROANOKE,83.05,42,36,72,80.0,93.21,42 [36 - 72],83.05% [80.0% - 93.21%],05-12-2020
435,VA- WINCHESTER,106.37,128,114,151,89.11,134.13,128 [114 - 151],106.37% [89.11% - 134.13%],05-12-2020
437,WA- EVERETT,127.48,183,167,204,98.76,161.85,183 [167 - 204],127.48% [98.76% - 161.85%],05-12-2020
438,WA- OLYMPIA,115.7,113,103,132,92.44,153.33,113 [103 - 132],115.7% [92.44% - 153.33%],05-12-2020
