HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
238,MI- KALAMAZOO,92.07,93,90,99,90.09,94.96,93 [90 - 99],92.07% [90.09% - 94.96%],178,149,221,10-13-2020
239,MI- LANSING,85.43,35,33,37,83.13,86.45,35 [33 - 37],85.43% [83.13% - 86.45%],83,48,99,10-13-2020
240,MI- MARQUETTE,112.8,90,84,98,104.8,124.26,90 [84 - 98],112.8% [104.8% - 124.26%],160,121,216,10-13-2020
242,MI- MUSKEGON,83.57,7,7,8,82.61,84.29,7 [7 - 8],83.57% [82.61% - 84.29%],19,14,23,10-13-2020
243,MI- PETOSKEY,81.51,1,0,2,80.0,83.47,1 [0 - 2],81.51% [80.0% - 83.47%],5,0,12,10-13-2020
244,MI- PONTIAC,82.57,14,14,14,82.03,83.12,14 [14 - 14],82.57% [82.03% - 83.12%],30,24,37,10-13-2020
245,MI- ROYAL OAK,82.1,21,21,22,81.7,82.57,21 [21 - 22],82.1% [81.7% - 82.57%],55,45,68,10-13-2020
246,MI- SAGINAW,82.15,21,20,23,81.57,82.67,21 [20 - 23],82.15% [81.57% - 82.67%],45,33,56,10-13-2020
248,MI- ST JOSEPH,83.24,0,0,0,82.65,83.97,0 [0 - 0],83.24% [82.65% - 83.97%],9,8,12,10-13-2020
249,MI- TRAVERSE CITY,82.29,0,0,1,80.39,82.75,0 [0 - 1],82.29% [80.39% - 82.75%],11,2,14,10-13-2020
250,MN- DULUTH,89.13,55,53,59,86.8,91.02,55 [53 - 59],89.13% [86.8% - 91.02%],106,79,128,10-13-2020
251,MN- MINNEAPOLIS,89.97,441,424,468,88.04,92.34,441 [424 - 468],89.97% [88.04% - 92.34%],848,685,1051,10-13-2020
253,MN- ROCHESTER,84.53,61,58,66,82.89,85.69,61 [58 - 66],84.53% [82.89% - 85.69%],117,75,148,10-13-2020
254,MN- ST CLOUD,90.77,35,35,36,89.34,92.45,35 [35 - 36],90.77% [89.34% - 92.45%],76,66,88,10-13-2020
256,MN- ST PAUL,89.27,106,102,112,87.79,91.51,106 [102 - 112],89.27% [87.79% - 91.51%],211,178,263,10-13-2020
257,MS- GULFPORT,83.48,7,7,8,82.46,83.62,7 [7 - 8],83.48% [82.46% - 83.62%],26,19,28,10-13-2020
258,MS- HATTIESBURG,84.33,27,27,29,83.55,85.62,27 [27 - 29],84.33% [83.55% - 85.62%],52,43,68,10-13-2020
259,MS- JACKSON,81.84,39,38,41,81.56,82.12,39 [38 - 41],81.84% [81.56% - 82.12%],82,70,95,10-13-2020
260,MS- MERIDIAN,81.73,7,7,7,81.33,82.35,7 [7 - 7],81.73% [81.33% - 82.35%],16,13,23,10-13-2020
261,MS- OXFORD,82.68,7,6,8,81.72,84.23,7 [6 - 8],82.68% [81.72% - 84.23%],17,11,27,10-13-2020
262,MS- TUPELO,85.36,37,35,42,83.74,87.48,37 [35 - 42],85.36% [83.74% - 87.48%],87,61,122,10-13-2020
263,MO- CAPE GIRARDEAU,89.74,48,46,51,87.89,91.49,48 [46 - 51],89.74% [87.89% - 91.49%],99,81,118,10-13-2020
264,MO- COLUMBIA,95.04,134,128,145,91.77,98.98,134 [128 - 145],95.04% [91.77% - 98.98%],277,217,350,10-13-2020
267,MO- JOPLIN,89.62,40,40,43,88.49,92.05,40 [40 - 43],89.62% [88.49% - 92.05%],91,81,115,10-13-2020
268,MO- KANSAS CITY,86.3,255,243,273,84.68,87.97,255 [243 - 273],86.3% [84.68% - 87.97%],499,371,632,10-13-2020
270,MO- SPRINGFIELD,100.21,191,186,203,97.3,105.01,191 [186 - 203],100.21% [97.3% - 105.01%],395,339,490,10-13-2020
273,MO- ST LOUIS,86.15,359,346,376,85.07,87.24,359 [346 - 376],86.15% [85.07% - 87.24%],750,619,883,10-13-2020
274,MT- BILLINGS,92.92,165,157,182,89.05,97.79,165 [157 - 182],92.92% [89.05% - 97.79%],285,200,393,10-13-2020
275,MT- GREAT FALLS,98.62,89,83,103,92.8,108.57,89 [83 - 103],98.62% [92.8% - 108.57%],149,103,230,10-13-2020
276,MT- MISSOULA,94.89,99,94,109,91.39,99.84,99 [94 - 109],94.89% [91.39% - 99.84%],172,132,230,10-13-2020
277,NE- LINCOLN,88.32,81,77,89,85.99,91.54,81 [77 - 89],88.32% [85.99% - 91.54%],152,110,212,10-13-2020
278,NE- OMAHA,87.87,233,221,250,85.85,89.93,233 [221 - 250],87.87% [85.85% - 89.93%],430,320,543,10-13-2020
279,NV- LAS VEGAS,91.98,247,238,266,89.51,95.48,247 [238 - 266],91.98% [89.51% - 95.48%],488,388,632,10-13-2020
280,NV- RENO,85.82,56,55,58,84.89,86.98,56 [55 - 58],85.82% [84.89% - 86.98%],111,94,134,10-13-2020
281,NH- LEBANON,80.09,0,0,2,80.0,80.51,0 [0 - 2],80.09% [80.0% - 80.51%],0,0,5,10-13-2020
282,NH- MANCHESTER,84.4,40,38,44,82.68,85.62,40 [38 - 44],84.4% [82.68% - 85.62%],86,53,111,10-13-2020
283,NJ- CAMDEN,88.74,387,372,412,87.05,90.88,387 [372 - 412],88.74% [87.05% - 90.88%],697,563,869,10-13-2020
284,NJ- HACKENSACK,90.77,214,203,233,88.13,94.08,214 [203 - 233],90.77% [88.13% - 94.08%],401,303,525,10-13-2020
285,NJ- MORRISTOWN,84.97,48,46,53,83.84,86.74,48 [46 - 53],84.97% [83.84% - 86.74%],95,74,130,10-13-2020
288,NJ- NEW BRUNSWICK,85.21,75,72,79,84.01,86.33,75 [72 - 79],85.21% [84.01% - 86.33%],144,111,175,10-13-2020
289,NJ- NEWARK,83.0,72,68,79,82.18,84.11,72 [68 - 79],83.0% [82.18% - 84.11%],145,106,200,10-13-2020
291,NJ- PATERSON,83.71,21,21,22,82.72,84.33,21 [21 - 22],83.71% [82.72% - 84.33%],43,32,51,10-13-2020
292,NJ- RIDGEWOOD,119.12,170,162,183,110.18,130.51,170 [162 - 183],119.12% [110.18% - 130.51%],309,239,400,10-13-2020
293,NM- ALBUQUERQUE,89.17,171,163,187,86.79,92.74,171 [163 - 187],89.17% [86.79% - 92.74%],307,228,428,10-13-2020
295,NY- ALBANY,83.56,94,87,102,82.05,85.11,94 [87 - 102],83.56% [82.05% - 85.11%],175,101,252,10-13-2020
296,NY- BINGHAMTON,104.34,119,112,133,99.27,114.66,119 [112 - 133],104.34% [99.27% - 114.66%],226,179,322,10-13-2020
297,NY- BRONX,81.25,21,19,25,80.36,82.38,21 [19 - 25],81.25% [80.36% - 82.38%],45,13,86,10-13-2020
299,NY- BUFFALO,87.53,138,131,143,86.01,88.98,138 [131 - 143],87.53% [86.01% - 88.98%],270,216,323,10-13-2020
300,NY- ELMIRA,100.34,126,120,136,97.18,105.72,126 [120 - 136],100.34% [97.18% - 105.72%],219,185,277,10-13-2020
301,NY- EAST LONG ISLAND,84.1,210,200,222,83.14,85.26,210 [200 - 222],84.1% [83.14% - 85.26%],448,344,575,10-13-2020
304,NY- ROCHESTER,85.48,95,92,108,84.22,87.97,95 [92 - 108],85.48% [84.22% - 87.97%],162,125,236,10-13-2020
307,NY- SYRACUSE,85.07,71,68,78,83.65,87.54,71 [68 - 78],85.07% [83.65% - 87.54%],143,103,213,10-13-2020
308,NY- WHITE PLAINS,90.94,172,166,183,88.96,93.51,172 [166 - 183],90.94% [88.96% - 93.51%],324,266,401,10-13-2020
309,NC- ASHEVILLE,89.41,101,97,108,87.03,92.19,101 [97 - 108],89.41% [87.03% - 92.19%],176,132,229,10-13-2020
311,NC- CHARLOTTE,89.42,277,268,290,87.86,91.07,277 [268 - 290],89.42% [87.86% - 91.07%],545,455,641,10-13-2020
312,NC- DURHAM,87.57,184,176,191,86.04,88.86,184 [176 - 191],87.57% [86.04% - 88.86%],349,279,409,10-13-2020
313,NC- GREENSBORO,86.82,62,61,65,85.8,88.14,62 [61 - 65],86.82% [85.8% - 88.14%],122,104,146,10-13-2020
314,NC- GREENVILLE,91.54,156,149,164,88.81,93.99,156 [149 - 164],91.54% [88.81% - 93.99%],289,221,351,10-13-2020
315,NC- HICKORY,89.69,35,35,37,88.56,91.63,35 [35 - 37],89.69% [88.56% - 91.63%],72,64,87,10-13-2020
318,NC- RALEIGH,89.8,210,201,223,87.58,92.11,210 [201 - 223],89.8% [87.58% - 92.11%],414,321,513,10-13-2020
319,NC- WILMINGTON,88.57,52,51,55,86.9,90.11,52 [51 - 55],88.57% [86.9% - 90.11%],104,84,123,10-13-2020
320,NC- WINSTON-SALEM,85.3,95,92,104,84.35,87.03,95 [92 - 104],85.3% [84.35% - 87.03%],195,160,259,10-13-2020
321,ND- BISMARCK,92.44,49,46,55,88.23,98.38,49 [46 - 55],92.44% [88.23% - 98.38%],104,69,154,10-13-2020
322,ND- FARGO MOORHEAD -MN,88.72,95,91,102,87.05,91.48,95 [91 - 102],88.72% [87.05% - 91.48%],176,143,233,10-13-2020
323,ND- GRAND FORKS,87.56,21,21,22,86.98,88.35,21 [21 - 22],87.56% [86.98% - 88.35%],44,41,49,10-13-2020
324,ND- MINOT,88.58,28,28,30,87.14,90.29,28 [28 - 30],88.58% [87.14% - 90.29%],60,50,72,10-13-2020
325,OH- AKRON,82.66,27,26,29,82.14,83.3,27 [26 - 29],82.66% [82.14% - 83.3%],64,52,80,10-13-2020
326,OH- CANTON,83.46,28,28,31,82.84,84.4,28 [28 - 31],83.46% [82.84% - 84.4%],73,60,93,10-13-2020
327,OH- CINCINNATI,85.55,133,129,141,84.55,86.97,133 [129 - 141],85.55% [84.55% - 86.97%],266,218,334,10-13-2020
328,OH- CLEVELAND,81.51,63,60,66,81.26,81.87,63 [60 - 66],81.51% [81.26% - 81.87%],133,111,165,10-13-2020
329,OH- COLUMBUS,86.03,280,268,298,84.96,87.64,280 [268 - 298],86.03% [84.96% - 87.64%],540,444,684,10-13-2020
330,OH- DAYTON,86.84,105,105,112,86.4,88.57,105 [105 - 112],86.84% [86.4% - 88.57%],223,209,280,10-13-2020
331,OH- ELYRIA,81.67,0,0,0,81.66,81.66,0 [0 - 0],81.67% [81.66% - 81.66%],12,12,12,10-13-2020
332,OH- KETTERING,87.04,35,35,37,86.31,88.82,35 [35 - 37],87.04% [86.31% - 88.82%],81,73,102,10-13-2020
334,OH- TOLEDO,83.88,79,76,84,83.01,84.89,79 [76 - 84],83.88% [83.01% - 84.89%],162,126,205,10-13-2020
335,OH- YOUNGSTOWN,82.94,41,40,45,82.23,84.19,41 [40 - 45],82.94% [82.23% - 84.19%],76,58,109,10-13-2020
