HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
375,TN- JOHNSON CITY,103,1121,1121,1122,01-22-2020
376,TN- KINGSPORT,280,27804,27804,27804,01-22-2020
377,TN- KNOXVILLE,107,5870,5866,5872,01-22-2020
379,TN- MEMPHIS,160,27224,27199,27225,01-22-2020
380,TN- NASHVILLE,194,53441,53398,53441,01-22-2020
382,TX- ABILENE,92,748,748,748,01-22-2020
383,TX- AMARILLO,95,1118,1115,1118,01-22-2020
385,TX- AUSTIN,221,26045,26021,26048,01-22-2020
386,TX- BEAUMONT,118,2663,2659,2663,01-22-2020
388,TX- BRYAN,182,3300,3299,3300,01-22-2020
390,TX- CORPUS CHRISTI,101,2150,2148,2150,01-22-2020
391,TX- DALLAS,185,67636,67575,67640,01-22-2020
393,TX- EL PASO,118,5368,5361,5368,01-22-2020
394,TX- FORT WORTH,185,27614,27589,27615,01-22-2020
396,TX- HARLINGEN,108,2025,2022,2026,01-22-2020
397,TX- HOUSTON,162,73454,73375,73455,01-22-2020
399,TX- LONGVIEW,121,1465,1463,1465,01-22-2020
400,TX- LUBBOCK,108,3391,3390,3391,01-22-2020
402,TX- MCALLEN,105,1988,1985,1988,01-22-2020
406,TX- ODESSA,99,1188,1187,1188,01-22-2020
411,TX- SAN ANGELO,90,351,350,351,01-22-2020
412,TX- SAN ANTONIO,228,59318,59252,59324,01-22-2020
413,TX- TEMPLE,176,4655,4651,4655,01-22-2020
416,TX- TYLER,134,4496,4490,4497,01-22-2020
417,TX- VICTORIA,105,980,978,980,01-22-2020
418,TX- WACO,215,4277,4273,4277,01-22-2020
420,TX- WICHITA FALLS,118,1350,1349,1350,01-22-2020
421,UT- OGDEN,177,3844,3842,3845,01-22-2020
422,UT- PROVO,172,4421,4418,4421,01-22-2020
423,UT- SALT LAKE CITY,153,15496,15481,15498,01-22-2020
424,VT- BURLINGTON,234,13153,13144,13153,01-22-2020
426,VA- ARLINGTON,280,40502,40502,40502,01-22-2020
427,VA- CHARLOTTESVILLE,280,19642,19642,19642,01-22-2020
428,VA- LYNCHBURG,111,1181,1178,1181,01-22-2020
429,VA- NEWPORT NEWS,256,10836,10830,10838,01-22-2020
430,VA- NORFOLK,192,15613,15596,15613,01-22-2020
431,VA- RICHMOND,191,27145,27128,27145,01-22-2020
432,VA- ROANOKE,280,39116,39116,39116,01-22-2020
435,VA- WINCHESTER,280,13062,13062,13062,01-22-2020
437,WA- EVERETT,280,11494,11494,11494,01-22-2020
438,WA- OLYMPIA,280,9450,9450,9450,01-22-2020
439,WA- SEATTLE,280,76202,76202,76202,01-22-2020
440,WA- SPOKANE,258,36986,36951,36990,01-22-2020
441,WA- TACOMA,280,17178,17178,17178,01-22-2020
442,WA- YAKIMA,280,7586,7581,7586,01-22-2020
443,WV- CHARLESTON,280,33950,33950,33950,01-22-2020
444,WV- HUNTINGTON,280,23100,23100,23100,01-22-2020
445,WV- MORGANTOWN,279,24682,24682,24682,01-22-2020
446,WI- APPLETON,178,3144,3144,3144,01-22-2020
447,WI- GREEN BAY,124,3621,3619,3621,01-22-2020
448,WI- LA CROSSE,159,3966,3962,3966,01-22-2020
449,WI- MADISON,245,28039,28012,28041,01-22-2020
450,WI- MARSHFIELD,118,2292,2291,2293,01-22-2020
451,WI- MILWAUKEE,214,61867,61816,61868,01-22-2020
452,WI- NEENAH,193,3405,3403,3405,01-22-2020
456,WI- WAUSAU,109,839,839,839,01-22-2020
457,WY- CASPER,131,2007,2007,2007,01-22-2020
303,NY- NEW YORK,280,217644,217644,217644,01-22-2020
