region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
119,FL- FORT MYERS,80.52,137,131,142,80.42,80.65,137 [131 - 142],80.52% [80.42% - 80.65%],20,16,25,03-16-2021
120,FL- GAINESVILLE,80.16,21,19,22,80.16,80.22,21 [19 - 22],80.16% [80.16% - 80.22%],3,3,4,03-16-2021
122,FL- HUDSON,80.48,42,40,44,80.4,80.64,42 [40 - 44],80.48% [80.4% - 80.64%],6,5,8,03-16-2021
123,FL- JACKSONVILLE,80.26,84,81,87,80.2,80.33,84 [81 - 87],80.26% [80.2% - 80.33%],13,10,16,03-16-2021
124,FL- LAKELAND,80.56,39,38,41,80.47,80.66,39 [38 - 41],80.56% [80.47% - 80.66%],6,5,7,03-16-2021
127,FL- MIAMI,81.12,825,797,863,80.93,81.37,825 [797 - 863],81.12% [80.93% - 81.37%],121,100,148,03-16-2021
129,FL- OCALA,80.44,33,31,35,80.29,80.44,33 [31 - 35],80.44% [80.29% - 80.44%],6,4,6,03-16-2021
130,FL- ORLANDO,80.57,389,376,405,80.45,80.69,389 [376 - 405],80.57% [80.45% - 80.69%],59,47,71,03-16-2021
131,FL- ORMOND BEACH,80.3,31,30,33,80.24,80.42,31 [30 - 33],80.3% [80.24% - 80.42%],5,4,7,03-16-2021
133,FL- PANAMA CITY,80.15,7,7,8,80.15,80.3,7 [7 - 8],80.15% [80.15% - 80.3%],1,1,2,03-16-2021
134,FL- PENSACOLA,80.26,38,37,39,80.21,80.3,38 [37 - 39],80.26% [80.21% - 80.3%],6,5,7,03-16-2021
137,FL- SARASOTA,80.48,49,47,51,80.42,80.62,49 [47 - 51],80.48% [80.42% - 80.62%],7,6,9,03-16-2021
139,FL- ST PETERSBURG,80.31,35,33,36,80.25,80.38,35 [33 - 36],80.31% [80.25% - 80.38%],5,4,6,03-16-2021
140,FL- TALLAHASSEE,80.15,28,27,29,80.15,80.19,28 [27 - 29],80.15% [80.15% - 80.19%],4,4,5,03-16-2021
141,FL- TAMPA,80.68,197,190,205,80.56,80.8,197 [190 - 205],80.68% [80.56% - 80.8%],29,24,34,03-16-2021
142,GA- ALBANY,80.0,0,0,1,80.0,80.09,0 [0 - 1],80.0% [80.0% - 80.09%],0,0,1,03-16-2021
144,GA- ATLANTA,80.65,441,422,461,80.49,80.78,441 [422 - 461],80.65% [80.49% - 80.78%],78,59,94,03-16-2021
