region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
267,MO- JOPLIN,93.94,93,87,99,89.12,98.76,93 [87 - 99],93.94% [89.12% - 98.76%],133,87,179,12-21-2020,projected
268,MO- KANSAS CITY,84.68,211,198,229,83.18,86.49,211 [198 - 229],84.68% [83.18% - 86.49%],371,252,514,12-21-2020,projected
270,MO- SPRINGFIELD,93.12,164,153,175,89.44,98.07,164 [153 - 175],93.12% [89.44% - 98.07%],257,185,354,12-21-2020,projected
273,MO- ST LOUIS,88.06,599,564,637,85.67,90.62,599 [564 - 637],88.06% [85.67% - 90.62%],984,692,1296,12-21-2020,projected
274,MT- BILLINGS,83.89,46,43,50,82.54,85.39,46 [43 - 50],83.89% [82.54% - 85.39%],86,56,119,12-21-2020,projected
275,MT- GREAT FALLS,82.61,13,12,15,81.37,83.6,13 [12 - 15],82.61% [81.37% - 83.6%],21,11,29,12-21-2020,projected
276,MT- MISSOULA,85.0,35,32,38,83.71,86.82,35 [32 - 38],85.0% [83.71% - 86.82%],58,43,79,12-21-2020,projected
277,NE- LINCOLN,82.78,22,20,25,81.69,83.65,22 [20 - 25],82.78% [81.69% - 83.65%],51,31,67,12-21-2020,projected
278,NE- OMAHA,82.41,66,61,71,81.74,83.29,66 [61 - 71],82.41% [81.74% - 83.29%],132,95,180,12-21-2020,projected
279,NV- LAS VEGAS,103.52,605,570,643,96.59,111.06,605 [570 - 643],103.52% [96.59% - 111.06%],960,677,1268,12-21-2020,projected
280,NV- RENO,102.33,293,275,312,95.41,109.72,293 [275 - 312],102.33% [95.41% - 109.72%],429,296,571,12-21-2020,projected
281,NH- LEBANON,81.03,7,6,7,80.82,81.44,7 [6 - 7],81.03% [80.82% - 81.44%],10,8,14,12-21-2020,projected
282,NH- MANCHESTER,87.09,90,84,97,84.71,89.73,90 [84 - 97],87.09% [84.71% - 89.73%],140,93,192,12-21-2020,projected
283,NJ- CAMDEN,96.05,802,756,850,91.08,101.26,802 [756 - 850],96.05% [91.08% - 101.26%],1282,885,1698,12-21-2020,projected
284,NJ- HACKENSACK,94.96,348,327,371,90.08,100.06,348 [327 - 371],94.96% [90.08% - 100.06%],558,376,748,12-21-2020,projected
285,NJ- MORRISTOWN,94.73,162,151,173,89.96,100.07,162 [151 - 173],94.73% [89.96% - 100.07%],284,192,387,12-21-2020,projected
288,NJ- NEW BRUNSWICK,93.09,205,192,219,89.07,97.46,205 [192 - 219],93.09% [89.07% - 97.46%],362,251,483,12-21-2020,projected
289,NJ- NEWARK,91.44,317,299,336,88.0,94.85,317 [299 - 336],91.44% [88.0% - 94.85%],556,389,722,12-21-2020,projected
291,NJ- PATERSON,92.39,78,73,83,88.66,96.21,78 [73 - 83],92.39% [88.66% - 96.21%],146,102,191,12-21-2020,projected
292,NJ- RIDGEWOOD,105.13,118,111,126,97.42,113.08,118 [111 - 126],105.13% [97.42% - 113.08%],199,138,262,12-21-2020,projected
293,NM- ALBUQUERQUE,104.92,562,530,607,98.01,114.56,562 [530 - 607],104.92% [98.01% - 114.56%],837,605,1161,12-21-2020,projected
295,NY- ALBANY,101.22,684,647,722,95.36,108.04,684 [647 - 722],101.22% [95.36% - 108.04%],1046,757,1382,12-21-2020,projected
296,NY- BINGHAMTON,90.33,56,53,60,87.53,93.13,56 [53 - 60],90.33% [87.53% - 93.13%],96,70,122,12-21-2020,projected
297,NY- BRONX,92.02,240,226,256,88.48,96.02,240 [226 - 256],92.02% [88.48% - 96.02%],435,307,580,12-21-2020,projected
299,NY- BUFFALO,103.25,502,471,536,95.3,112.35,502 [471 - 536],103.25% [95.3% - 112.35%],836,550,1163,12-21-2020,projected
300,NY- ELMIRA,98.2,107,100,114,93.09,103.96,107 [100 - 114],98.2% [93.09% - 103.96%],196,141,258,12-21-2020,projected
301,NY- EAST LONG ISLAND,96.03,919,865,982,91.12,101.67,919 [865 - 982],96.03% [91.12% - 101.67%],1753,1216,2371,12-21-2020,projected
304,NY- ROCHESTER,103.72,409,386,434,97.06,112.26,409 [386 - 434],103.72% [97.06% - 112.26%],702,505,955,12-21-2020,projected
307,NY- SYRACUSE,99.72,325,305,343,94.16,105.77,325 [305 - 343],99.72% [94.16% - 105.77%],557,400,728,12-21-2020,projected
308,NY- WHITE PLAINS,93.84,212,200,224,90.04,97.88,212 [200 - 224],93.84% [90.04% - 97.88%],411,298,531,12-21-2020,projected
309,NC- ASHEVILLE,110.03,410,384,443,98.58,123.72,410 [384 - 443],110.03% [98.58% - 123.72%],564,349,821,12-21-2020,projected
311,NC- CHARLOTTE,103.88,977,917,1050,94.92,114.27,977 [917 - 1050],103.88% [94.92% - 114.27%],1383,864,1985,12-21-2020,projected
312,NC- DURHAM,93.32,439,413,473,88.45,99.25,439 [413 - 473],93.32% [88.45% - 99.25%],615,390,889,12-21-2020,projected
313,NC- GREENSBORO,93.77,176,165,188,88.92,99.84,176 [165 - 188],93.77% [88.92% - 99.84%],247,160,356,12-21-2020,projected
314,NC- GREENVILLE,99.29,349,327,374,92.08,107.54,349 [327 - 374],99.29% [92.08% - 107.54%],484,303,691,12-21-2020,projected
315,NC- HICKORY,105.27,133,125,143,95.64,116.1,133 [125 - 143],105.27% [95.64% - 116.1%],189,117,270,12-21-2020,projected
318,NC- RALEIGH,99.91,596,560,640,92.66,108.52,596 [560 - 640],99.91% [92.66% - 108.52%],843,536,1208,12-21-2020,projected
319,NC- WILMINGTON,90.93,91,85,98,86.82,95.2,91 [85 - 98],90.93% [86.82% - 95.2%],133,83,185,12-21-2020,projected
320,NC- WINSTON-SALEM,94.72,381,359,409,89.29,101.13,381 [359 - 409],94.72% [89.29% - 101.13%],542,342,778,12-21-2020,projected
321,ND- BISMARCK,81.55,7,6,7,80.95,81.91,7 [6 - 7],81.55% [80.95% - 81.91%],13,8,16,12-21-2020,projected
322,ND- FARGO MOORHEAD -MN,83.25,35,33,39,82.22,84.63,35 [33 - 39],83.25% [82.22% - 84.63%],66,45,94,12-21-2020,projected
323,ND- GRAND FORKS,82.21,4,3,5,81.02,82.73,4 [3 - 5],82.21% [81.02% - 82.73%],13,6,16,12-21-2020,projected
324,ND- MINOT,80.71,0,0,1,80.29,81.14,0 [0 - 1],80.71% [80.29% - 81.14%],5,2,8,12-21-2020,projected
325,OH- AKRON,89.89,148,139,158,86.8,93.15,148 [139 - 158],89.89% [86.8% - 93.15%],240,165,319,12-21-2020,projected
326,OH- CANTON,91.21,145,136,154,87.71,94.52,145 [136 - 154],91.21% [87.71% - 94.52%],237,163,307,12-21-2020,projected
327,OH- CINCINNATI,92.56,384,361,411,88.45,96.88,384 [361 - 411],92.56% [88.45% - 96.88%],602,405,809,12-21-2020,projected
328,OH- CLEVELAND,85.31,273,256,293,83.49,87.27,273 [256 - 293],85.31% [83.49% - 87.27%],469,308,642,12-21-2020,projected
329,OH- COLUMBUS,93.49,778,732,826,89.48,97.86,778 [732 - 826],93.49% [89.48% - 97.86%],1208,849,1599,12-21-2020,projected
330,OH- DAYTON,92.73,259,244,275,88.97,96.92,259 [244 - 275],92.73% [88.97% - 96.92%],416,293,553,12-21-2020,projected
331,OH- ELYRIA,91.86,52,49,56,88.14,95.72,52 [49 - 56],91.86% [88.14% - 95.72%],86,59,114,12-21-2020,projected
332,OH- KETTERING,94.88,109,103,116,90.38,99.64,109 [103 - 116],94.88% [90.38% - 99.64%],172,120,227,12-21-2020,projected
334,OH- TOLEDO,88.43,222,210,236,85.87,91.2,222 [210 - 236],88.43% [85.87% - 91.2%],353,246,469,12-21-2020,projected
335,OH- YOUNGSTOWN,87.77,115,108,125,85.19,90.65,115 [108 - 125],87.77% [85.19% - 90.65%],202,135,277,12-21-2020,projected
336,OK- LAWTON,96.41,83,79,90,91.08,105.11,83 [79 - 90],96.41% [91.08% - 105.11%],117,79,179,12-21-2020,projected
339,OK- OKLAHOMA CITY,94.62,670,635,719,90.91,99.94,670 [635 - 719],94.62% [90.91% - 99.94%],962,718,1312,12-21-2020,projected
340,OK- TULSA,98.46,658,623,709,92.35,106.7,658 [623 - 709],98.46% [92.35% - 106.7%],927,620,1341,12-21-2020,projected
341,OR- BEND,87.9,21,19,22,84.94,90.12,21 [19 - 22],87.9% [84.94% - 90.12%],32,20,41,12-21-2020,projected
342,OR- EUGENE,90.81,91,86,96,87.15,95.23,91 [86 - 96],90.81% [87.15% - 95.23%],127,84,179,12-21-2020,projected
343,OR- MEDFORD,88.5,60,56,65,86.74,91.71,60 [56 - 65],88.5% [86.74% - 91.71%],82,65,113,12-21-2020,projected
344,OR- PORTLAND,91.54,414,389,455,87.79,96.88,414 [389 - 455],91.54% [87.79% - 96.88%],604,408,884,12-21-2020,projected
345,OR- SALEM,96.51,42,40,46,91.7,102.25,42 [40 - 46],96.51% [91.7% - 102.25%],72,51,97,12-21-2020,projected
346,PA- ALLENTOWN,91.12,199,186,217,87.67,95.96,199 [186 - 217],91.12% [87.67% - 95.96%],351,242,504,12-21-2020,projected
347,PA- ALTOONA,95.11,56,51,64,88.2,104.46,56 [51 - 64],95.11% [88.2% - 104.46%],105,57,170,12-21-2020,projected
350,PA- DANVILLE,94.29,123,113,140,88.56,102.25,123 [113 - 140],94.29% [88.56% - 102.25%],217,130,338,12-21-2020,projected
351,PA- ERIE,95.32,207,191,234,89.52,103.85,207 [191 - 234],95.32% [89.52% - 103.85%],341,212,531,12-21-2020,projected
352,PA- HARRISBURG,100.86,284,263,319,92.96,112.17,284 [263 - 319],100.86% [92.96% - 112.17%],478,297,737,12-21-2020,projected
354,PA- JOHNSTOWN,88.65,29,26,34,84.59,94.19,29 [26 - 34],88.65% [84.59% - 94.19%],64,34,105,12-21-2020,projected
355,PA- LANCASTER,105.52,195,178,227,93.35,124.16,195 [178 - 227],105.52% [93.35% - 124.16%],304,159,526,12-21-2020,projected
356,PA- PHILADELPHIA,89.29,692,648,765,86.09,93.71,692 [648 - 765],89.29% [86.09% - 93.71%],1157,759,1707,12-21-2020,projected
357,PA- PITTSBURGH,90.09,681,631,763,86.13,95.53,681 [631 - 763],90.09% [86.13% - 95.53%],1178,716,1813,12-21-2020,projected
358,PA- READING,92.36,98,91,108,88.36,98.05,98 [91 - 108],92.36% [88.36% - 98.05%],176,119,257,12-21-2020,projected
359,PA- SAYRE,93.16,37,34,41,89.77,98.26,37 [34 - 41],93.16% [89.77% - 98.26%],62,46,86,12-21-2020,projected
360,PA- SCRANTON,90.77,59,55,65,87.37,95.76,59 [55 - 65],90.77% [87.37% - 95.76%],95,65,139,12-21-2020,projected
