HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
253,MN- ROCHESTER,80,49,43,49,04-08-2020
254,MN- ST CLOUD,80,19,16,19,04-08-2020
256,MN- ST PAUL,81,220,189,222,04-08-2020
257,MS- GULFPORT,85,241,205,243,04-08-2020
258,MS- HATTIESBURG,81,76,62,76,04-08-2020
259,MS- JACKSON,81,434,372,438,04-08-2020
261,MS- OXFORD,80,0,0,0,04-08-2020
262,MS- TUPELO,80,3,2,3,04-08-2020
263,MO- CAPE GIRARDEAU,80,0,0,0,04-08-2020
264,MO- COLUMBIA,80,40,34,40,04-08-2020
267,MO- JOPLIN,80,0,0,0,04-08-2020
268,MO- KANSAS CITY,81,970,829,979,04-08-2020
270,MO- SPRINGFIELD,80,59,50,59,04-08-2020
273,MO- ST LOUIS,80,487,420,491,04-08-2020
274,MT- BILLINGS,80,123,105,124,04-08-2020
275,MT- GREAT FALLS,80,0,0,0,04-08-2020
276,MT- MISSOULA,80,0,0,0,04-08-2020
277,NE- LINCOLN,82,301,257,303,04-08-2020
278,NE- OMAHA,87,2766,2379,2790,04-08-2020
279,NV- LAS VEGAS,85,1568,1341,1582,04-08-2020
280,NV- RENO,81,215,184,216,04-08-2020
281,NH- LEBANON,82,147,125,148,04-08-2020
282,NH- MANCHESTER,81,221,190,223,04-08-2020
283,NJ- CAMDEN,87,3883,3316,3919,04-08-2020
284,NJ- HACKENSACK,106,6591,5675,6649,04-08-2020
285,NJ- MORRISTOWN,104,3068,2623,3096,04-08-2020
288,NJ- NEW BRUNSWICK,95,2874,2459,2900,04-08-2020
289,NJ- NEWARK,97,5597,4801,5647,04-08-2020
291,NJ- PATERSON,97,1363,1167,1375,04-08-2020
293,NM- ALBUQUERQUE,80,157,135,158,04-08-2020
295,NY- ALBANY,96,5466,4683,5516,04-08-2020
296,NY- BINGHAMTON,82,156,133,157,04-08-2020
297,NY- BRONX,130,12456,10724,12566,04-08-2020
299,NY- BUFFALO,83,756,645,763,04-08-2020
300,NY- ELMIRA,81,99,82,100,04-08-2020
