region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
267,MO- JOPLIN,90.17,80,76,81,89.85,90.48,80 [76 - 81],90.17% [89.85% - 90.48%],97,94,100,01-26-2021
268,MO- KANSAS CITY,88.37,507,497,518,88.1,88.68,507 [497 - 518],88.37% [88.1% - 88.68%],663,642,688,01-26-2021
270,MO- SPRINGFIELD,90.11,146,142,150,89.6,90.36,146 [142 - 150],90.11% [89.6% - 90.36%],198,188,203,01-26-2021
273,MO- ST LOUIS,87.55,780,761,796,87.29,87.83,780 [761 - 796],87.55% [87.29% - 87.83%],921,889,955,01-26-2021
274,MT- BILLINGS,85.57,83,82,87,85.39,85.84,83 [82 - 87],85.57% [85.39% - 85.84%],123,119,129,01-26-2021
275,MT- GREAT FALLS,81.86,14,13,15,81.61,81.86,14 [13 - 15],81.86% [81.61% - 81.86%],15,13,15,01-26-2021
276,MT- MISSOULA,88.46,80,78,83,88.28,88.46,80 [78 - 83],88.46% [88.28% - 88.46%],98,96,98,01-26-2021
277,NE- LINCOLN,85.88,89,87,91,85.61,85.99,89 [87 - 91],85.88% [85.61% - 85.99%],108,103,110,01-26-2021
278,NE- OMAHA,84.92,232,227,237,84.74,85.07,232 [227 - 237],84.92% [84.74% - 85.07%],269,259,277,01-26-2021
279,NV- LAS VEGAS,98.47,565,553,576,97.76,99.06,565 [553 - 576],98.47% [97.76% - 99.06%],754,725,778,01-26-2021
280,NV- RENO,88.07,133,130,136,87.96,88.59,133 [130 - 136],88.07% [87.96% - 88.59%],155,153,165,01-26-2021
281,NH- LEBANON,86.69,57,56,59,86.28,87.42,57 [56 - 59],86.69% [86.28% - 87.42%],65,61,72,01-26-2021
282,NH- MANCHESTER,91.8,198,195,202,91.45,92.26,198 [195 - 202],91.8% [91.45% - 92.26%],233,226,242,01-26-2021
283,NJ- CAMDEN,93.11,920,900,939,91.69,94.42,920 [900 - 939],93.11% [91.69% - 94.42%],1047,934,1152,01-26-2021
284,NJ- HACKENSACK,89.2,244,239,248,88.93,89.57,244 [239 - 248],89.2% [88.93% - 89.57%],343,333,357,01-26-2021
285,NJ- MORRISTOWN,95.56,245,239,250,95.09,96.29,245 [239 - 250],95.56% [95.09% - 96.29%],300,291,314,01-26-2021
288,NJ- NEW BRUNSWICK,90.85,253,248,259,90.52,91.28,253 [248 - 259],90.85% [90.52% - 91.28%],300,291,312,01-26-2021
289,NJ- NEWARK,90.18,436,425,447,89.01,91.34,436 [425 - 447],90.18% [89.01% - 91.34%],495,438,551,01-26-2021
291,NJ- PATERSON,89.0,83,81,84,88.74,89.25,83 [81 - 84],89.0% [88.74% - 89.25%],106,103,109,01-26-2021
292,NJ- RIDGEWOOD,96.16,86,84,88,95.66,97.05,86 [84 - 88],96.16% [95.66% - 97.05%],128,124,135,01-26-2021
293,NM- ALBUQUERQUE,93.58,343,333,350,93.07,94.26,343 [333 - 350],93.58% [93.07% - 94.26%],456,439,479,01-26-2021
295,NY- ALBANY,96.33,629,617,643,95.82,96.86,629 [617 - 643],96.33% [95.82% - 96.86%],805,780,831,01-26-2021
