HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
421,UT- OGDEN,112.08,119,110,139,95.75,139.59,119 [110 - 139],112.08% [95.75% - 139.59%],234,115,435,10-20-2020
422,UT- PROVO,96.5,68,63,80,89.09,111.93,68 [63 - 80],96.5% [89.09% - 111.93%],148,82,288,10-20-2020
423,UT- SALT LAKE CITY,101.92,433,396,522,90.2,126.53,433 [396 - 522],101.92% [90.2% - 126.53%],865,403,1838,10-20-2020
424,VT- BURLINGTON,90.84,98,84,180,81.52,151.15,98 [84 - 180],90.84% [81.52% - 151.15%],171,24,1127,10-20-2020
426,VA- ARLINGTON,105.71,381,355,459,94.17,134.17,381 [355 - 459],105.71% [94.17% - 134.17%],743,410,1567,10-20-2020
427,VA- CHARLOTTESVILLE,92.58,83,75,101,83.49,105.09,83 [75 - 101],92.58% [83.49% - 105.09%],176,49,352,10-20-2020
428,VA- LYNCHBURG,113.48,132,123,155,96.09,142.9,132 [123 - 155],113.48% [96.09% - 142.9%],251,121,473,10-20-2020
429,VA- NEWPORT NEWS,99.44,116,108,142,90.1,119.24,116 [108 - 142],99.44% [90.1% - 119.24%],221,115,447,10-20-2020
430,VA- NORFOLK,87.84,102,93,120,83.95,95.66,102 [93 - 120],87.84% [83.95% - 95.66%],212,107,424,10-20-2020
431,VA- RICHMOND,97.35,414,381,515,88.66,122.89,414 [381 - 515],97.35% [88.66% - 122.89%],815,407,2016,10-20-2020
432,VA- ROANOKE,105.16,356,327,443,91.6,138.88,356 [327 - 443],105.16% [91.6% - 138.88%],703,324,1645,10-20-2020
435,VA- WINCHESTER,122.2,211,195,254,102.29,165.1,211 [195 - 254],122.2% [102.29% - 165.1%],393,208,794,10-20-2020
437,WA- EVERETT,111.44,141,129,176,94.74,152.23,141 [129 - 176],111.44% [94.74% - 152.23%],258,121,593,10-20-2020
438,WA- OLYMPIA,90.14,35,33,42,84.44,99.85,35 [33 - 42],90.14% [84.44% - 99.85%],68,30,134,10-20-2020
439,WA- SEATTLE,88.19,233,215,268,84.17,94.79,233 [215 - 268],88.19% [84.17% - 94.79%],445,227,805,10-20-2020
440,WA- SPOKANE,91.28,203,187,242,85.72,102.53,203 [187 - 242],91.28% [85.72% - 102.53%],423,215,847,10-20-2020
441,WA- TACOMA,99.93,128,118,146,90.92,115.21,128 [118 - 146],99.93% [90.92% - 115.21%],244,134,432,10-20-2020
442,WA- YAKIMA,98.59,55,51,68,89.67,119.03,55 [51 - 68],98.59% [89.67% - 119.03%],107,56,226,10-20-2020
443,WV- CHARLESTON,101.99,261,237,343,89.07,141.57,261 [237 - 343],101.99% [89.07% - 141.57%],533,220,1493,10-20-2020
444,WV- HUNTINGTON,92.45,105,97,126,85.82,106.42,105 [97 - 126],92.45% [85.82% - 106.42%],205,96,436,10-20-2020
445,WV- MORGANTOWN,96.71,153,138,204,86.52,132.52,153 [138 - 204],96.71% [86.52% - 132.52%],294,115,926,10-20-2020
446,WI- APPLETON,100.31,53,48,68,87.29,131.54,53 [48 - 68],100.31% [87.29% - 131.54%],125,45,318,10-20-2020
447,WI- GREEN BAY,91.73,83,76,102,84.87,105.3,83 [76 - 102],91.73% [84.87% - 105.3%],187,78,405,10-20-2020
448,WI- LA CROSSE,88.68,39,36,45,84.08,94.97,39 [36 - 45],88.68% [84.08% - 94.97%],82,39,143,10-20-2020
449,WI- MADISON,97.2,257,237,311,88.51,116.96,257 [237 - 311],97.2% [88.51% - 116.96%],517,256,1112,10-20-2020
450,WI- MARSHFIELD,99.83,116,108,143,89.68,123.04,116 [108 - 143],99.83% [89.68% - 123.04%],233,114,507,10-20-2020
451,WI- MILWAUKEE,93.45,548,506,654,86.87,107.71,548 [506 - 654],93.45% [86.87% - 107.71%],1109,567,2286,10-20-2020
452,WI- NEENAH,98.78,46,42,58,87.35,125.16,46 [42 - 58],98.78% [87.35% - 125.16%],104,41,252,10-20-2020
456,WI- WAUSAU,104.95,65,60,82,90.44,139.12,65 [60 - 82],104.95% [90.44% - 139.12%],140,59,334,10-20-2020
457,WY- CASPER,101.22,74,67,89,88.84,122.51,74 [67 - 89],101.22% [88.84% - 122.51%],148,62,298,10-20-2020
303,NY- NEW YORK,87.22,625,530,945,80.03,105.88,625 [530 - 945],87.22% [80.03% - 105.88%],1121,4,4023,10-20-2020
