region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
308,NY- WHITE PLAINS,100.75,164,157,169,99.1,102.03,164 [157 - 169],100.75% [99.1% - 102.03%],616,567,654,01-26-2021,projected
309,NC- ASHEVILLE,92.99,138,132,144,91.98,93.9,138 [132 - 144],92.99% [91.98% - 93.9%],244,225,261,01-26-2021,projected
311,NC- CHARLOTTE,111.03,1108,1068,1157,105.64,117.03,1108 [1068 - 1157],111.03% [105.64% - 117.03%],1797,1485,2145,01-26-2021,projected
312,NC- DURHAM,93.32,352,340,365,91.96,94.23,352 [340 - 365],93.32% [91.96% - 94.23%],615,552,657,01-26-2021,projected
313,NC- GREENSBORO,100.35,226,217,235,96.67,104.19,226 [217 - 235],100.35% [96.67% - 104.19%],365,299,434,01-26-2021,projected
314,NC- GREENVILLE,95.66,230,223,241,92.91,98.53,230 [223 - 241],95.66% [92.91% - 98.53%],393,324,465,01-26-2021,projected
315,NC- HICKORY,101.93,91,88,94,100.59,103.93,91 [88 - 94],101.93% [100.59% - 103.93%],164,154,179,01-26-2021,projected
318,NC- RALEIGH,117.43,1022,981,1086,110.65,126.02,1022 [981 - 1086],117.43% [110.65% - 126.02%],1585,1298,1949,01-26-2021,projected
319,NC- WILMINGTON,112.37,245,236,258,106.79,119.93,245 [236 - 258],112.37% [106.79% - 119.93%],394,326,486,01-26-2021,projected
320,NC- WINSTON-SALEM,96.0,352,340,367,93.44,99.04,352 [340 - 367],96.0% [93.44% - 99.04%],589,495,701,01-26-2021,projected
321,ND- BISMARCK,83.34,14,14,19,82.63,84.53,14 [14 - 19],83.34% [82.63% - 84.53%],28,22,38,01-26-2021,projected
322,ND- FARGO MOORHEAD -MN,83.01,28,27,29,82.66,83.35,28 [27 - 29],83.01% [82.66% - 83.35%],61,54,68,01-26-2021,projected
323,ND- GRAND FORKS,81.53,7,7,7,81.53,81.53,7 [7 - 7],81.53% [81.53% - 81.53%],9,9,9,01-26-2021,projected
324,ND- MINOT,83.71,14,14,15,82.71,84.43,14 [14 - 15],83.71% [82.71% - 84.43%],26,19,31,01-26-2021,projected
325,OH- AKRON,89.89,96,92,99,89.11,90.59,96 [92 - 99],89.89% [89.11% - 90.59%],240,221,257,01-26-2021,projected
326,OH- CANTON,91.25,127,122,131,90.26,92.1,127 [122 - 131],91.25% [90.26% - 92.1%],238,217,256,01-26-2021,projected
327,OH- CINCINNATI,96.94,413,397,427,95.54,98.11,413 [397 - 427],96.94% [95.54% - 98.11%],812,745,868,01-26-2021,projected
328,OH- CLEVELAND,89.26,427,412,442,88.53,89.99,427 [412 - 442],89.26% [88.53% - 89.99%],817,753,882,01-26-2021,projected
329,OH- COLUMBUS,95.19,767,740,796,93.89,96.76,767 [740 - 796],95.19% [93.89% - 96.76%],1360,1244,1501,01-26-2021,projected
330,OH- DAYTON,92.09,182,175,190,90.86,93.1,182 [175 - 190],92.09% [90.86% - 93.1%],395,355,428,01-26-2021,projected
331,OH- ELYRIA,93.38,36,35,38,92.55,94.21,36 [35 - 38],93.38% [92.55% - 94.21%],97,91,103,01-26-2021,projected
332,OH- KETTERING,94.27,82,79,86,93.06,95.48,82 [79 - 86],94.27% [93.06% - 95.48%],165,151,179,01-26-2021,projected
334,OH- TOLEDO,89.29,231,222,240,88.5,90.17,231 [222 - 240],89.29% [88.5% - 90.17%],389,356,426,01-26-2021,projected
335,OH- YOUNGSTOWN,87.23,93,89,97,86.62,87.81,93 [89 - 97],87.23% [86.62% - 87.81%],188,172,203,01-26-2021,projected
336,OK- LAWTON,113.66,148,142,154,108.19,120.81,148 [142 - 154],113.66% [108.19% - 120.81%],240,201,291,01-26-2021,projected
339,OK- OKLAHOMA CITY,110.73,1217,1169,1263,104.89,116.06,1217 [1169 - 1263],110.73% [104.89% - 116.06%],2022,1638,2373,01-26-2021,projected
340,OK- TULSA,108.0,835,807,871,103.24,112.99,835 [807 - 871],108.0% [103.24% - 112.99%],1406,1167,1657,01-26-2021,projected
341,OR- BEND,88.4,14,13,15,86.91,89.14,14 [13 - 15],88.4% [86.91% - 89.14%],34,28,37,01-26-2021,projected
342,OR- EUGENE,87.32,49,47,50,86.38,87.49,49 [47 - 50],87.32% [86.38% - 87.49%],86,75,88,01-26-2021,projected
343,OR- MEDFORD,85.18,28,27,29,84.46,85.6,28 [27 - 29],85.18% [84.46% - 85.6%],50,43,54,01-26-2021,projected
344,OR- PORTLAND,86.61,185,179,196,85.9,87.26,185 [179 - 196],86.61% [85.9% - 87.26%],346,309,380,01-26-2021,projected
345,OR- SALEM,92.16,28,27,29,91.24,93.3,28 [27 - 29],92.16% [91.24% - 93.3%],53,49,58,01-26-2021,projected
346,PA- ALLENTOWN,97.17,256,244,271,94.98,99.01,256 [244 - 271],97.17% [94.98% - 99.01%],542,473,600,01-26-2021,projected
347,PA- ALTOONA,93.38,37,33,39,90.36,94.82,37 [33 - 39],93.38% [90.36% - 94.82%],93,72,103,01-26-2021,projected
350,PA- DANVILLE,94.29,112,104,121,91.26,97.45,112 [104 - 121],94.29% [91.26% - 97.45%],217,171,265,01-26-2021,projected
