HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
324,ND- MINOT,84.34,14,13,19,81.57,94.14,14 [13 - 19],84.34% [81.57% - 94.14%],30,11,99,05-18-2020
325,OH- AKRON,90.44,118,105,157,82.89,111.12,118 [105 - 157],90.44% [82.89% - 111.12%],253,70,755,05-18-2020
326,OH- CANTON,88.28,84,74,117,81.56,107.85,84 [74 - 117],88.28% [81.56% - 107.85%],175,33,589,05-18-2020
327,OH- CINCINNATI,86.85,168,153,212,82.52,98.71,168 [153 - 212],86.85% [82.52% - 98.71%],328,121,897,05-18-2020
328,OH- CLEVELAND,88.77,378,337,490,82.2,106.0,378 [337 - 490],88.77% [82.2% - 106.0%],774,194,2295,05-18-2020
329,OH- COLUMBUS,83.78,168,149,258,80.77,96.36,168 [149 - 258],83.78% [80.77% - 96.36%],338,69,1465,05-18-2020
330,OH- DAYTON,84.21,63,56,94,80.43,96.4,63 [56 - 94],84.21% [80.43% - 96.4%],137,14,536,05-18-2020
331,OH- ELYRIA,92.74,42,38,56,84.14,119.59,42 [38 - 56],92.74% [84.14% - 119.59%],92,30,287,05-18-2020
332,OH- KETTERING,86.01,28,26,40,81.64,98.51,28 [26 - 40],86.01% [81.64% - 98.51%],69,19,214,05-18-2020
334,OH- TOLEDO,84.07,78,70,106,81.05,92.44,78 [70 - 106],84.07% [81.05% - 92.44%],170,44,521,05-18-2020
335,OH- YOUNGSTOWN,85.53,66,60,89,81.65,95.69,66 [60 - 89],85.53% [81.65% - 95.69%],143,43,408,05-18-2020
336,OK- LAWTON,83.11,7,6,13,80.0,91.64,7 [6 - 13],83.11% [80.0% - 91.64%],22,0,83,05-18-2020
339,OK- OKLAHOMA CITY,87.34,240,212,309,81.52,100.79,240 [212 - 309],87.34% [81.52% - 100.79%],482,100,1368,05-18-2020
