HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
233,MI- DEARBORN,280,23007,22613,23401,257.6,302.4,01-22-2020
234,MI- DETROIT,280,65215,64097,66333,257.6,302.4,01-22-2020
235,MI- FLINT,280,18564,18246,18882,257.6,302.4,01-22-2020
238,MI- KALAMAZOO,280,17606,17252,17960,257.6,302.4,01-22-2020
239,MI- LANSING,280,21490,21122,21858,257.6,302.4,01-22-2020
240,MI- MARQUETTE,188,2760,2697,2823,172.96,203.04,01-22-2020
242,MI- MUSKEGON,280,6444,6316,6572,257.6,302.4,01-22-2020
243,MI- PETOSKEY,280,4410,4327,4493,257.6,302.4,01-22-2020
244,MI- PONTIAC,280,16572,16288,16856,257.6,302.4,01-22-2020
245,MI- ROYAL OAK,280,36981,36347,37615,257.6,302.4,01-22-2020
246,MI- SAGINAW,252,20668,20235,21101,231.84,272.16,01-22-2020
248,MI- ST JOSEPH,280,4115,4043,4187,257.6,302.4,01-22-2020
249,MI- TRAVERSE CITY,280,5982,5860,6104,257.6,302.4,01-22-2020
250,MN- DULUTH,168,5519,5396,5642,154.56,181.44,01-22-2020
251,MN- MINNEAPOLIS,280,108227,106184,110270,257.6,302.4,01-22-2020
253,MN- ROCHESTER,176,15301,15001,15601,161.92,190.08,01-22-2020
254,MN- ST CLOUD,270,7857,7696,8018,248.4,291.6,01-22-2020
256,MN- ST PAUL,280,31990,31442,32538,257.6,302.4,01-22-2020
257,MS- GULFPORT,280,10822,10637,11007,257.6,302.4,01-22-2020
258,MS- HATTIESBURG,280,16940,16650,17230,257.6,302.4,01-22-2020
259,MS- JACKSON,280,62734,61659,63809,257.6,302.4,01-22-2020
261,MS- OXFORD,280,8932,8779,9085,257.6,302.4,01-22-2020
262,MS- TUPELO,280,22820,22429,23211,257.6,302.4,01-22-2020
263,MO- CAPE GIRARDEAU,149,3735,3650,3820,137.08,160.92,01-22-2020
264,MO- COLUMBIA,262,18709,18306,19112,241.04,282.96,01-22-2020
267,MO- JOPLIN,280,11062,10834,11290,257.6,302.4,01-22-2020
268,MO- KANSAS CITY,280,110950,109048,112852,257.6,302.4,01-22-2020
270,MO- SPRINGFIELD,271,20789,20339,21239,249.32,292.68,01-22-2020
273,MO- ST LOUIS,225,100363,98231,102495,207.0,243.0,01-22-2020
274,MT- BILLINGS,229,19935,19540,20330,210.68,247.32,01-22-2020
275,MT- GREAT FALLS,152,3252,3183,3321,139.84,164.16,01-22-2020
276,MT- MISSOULA,263,12484,12230,12738,241.96,284.04,01-22-2020
277,NE- LINCOLN,280,25718,25278,26158,257.6,302.4,01-22-2020
278,NE- OMAHA,250,63390,62271,64509,230.0,270.0,01-22-2020
279,NV- LAS VEGAS,280,57148,56169,58127,257.6,302.4,01-22-2020
280,NV- RENO,280,26894,26433,27355,257.6,302.4,01-22-2020
281,NH- LEBANON,268,12010,11791,12229,246.56,289.44,01-22-2020
282,NH- MANCHESTER,235,20714,20347,21081,216.2,253.8,01-22-2020
283,NJ- CAMDEN,280,111367,109451,113283,257.6,302.4,01-22-2020
284,NJ- HACKENSACK,280,49754,48860,50648,257.6,302.4,01-22-2020
285,NJ- MORRISTOWN,280,26745,26283,27207,257.6,302.4,01-22-2020
288,NJ- NEW BRUNSWICK,280,38631,37968,39294,257.6,302.4,01-22-2020
289,NJ- NEWARK,269,63295,62189,64401,247.48,290.52,01-22-2020
291,NJ- PATERSON,278,16021,15741,16301,255.76,300.24,01-22-2020
293,NM- ALBUQUERQUE,280,47026,46220,47832,257.6,302.4,01-22-2020
295,NY- ALBANY,280,69006,67824,70188,257.6,302.4,01-22-2020
296,NY- BINGHAMTON,279,13006,12784,13228,256.68,301.32,01-22-2020
297,NY- BRONX,280,50680,49812,51548,257.6,302.4,01-22-2020
299,NY- BUFFALO,280,50330,49468,51192,257.6,302.4,01-22-2020
300,NY- ELMIRA,280,15078,14820,15336,257.6,302.4,01-22-2020
301,NY- EAST LONG ISLAND,280,153146,150521,155771,257.6,302.4,01-22-2020
304,NY- ROCHESTER,280,41440,40730,42150,257.6,302.4,01-22-2020
307,NY- SYRACUSE,280,39550,38872,40228,257.6,302.4,01-22-2020
308,NY- WHITE PLAINS,280,41538,40826,42250,257.6,302.4,01-22-2020
309,NC- ASHEVILLE,218,13945,13633,14257,200.56,235.44,01-22-2020
311,NC- CHARLOTTE,280,81088,79698,82478,257.6,302.4,01-22-2020
312,NC- DURHAM,266,50077,49043,51111,244.72,287.28,01-22-2020
313,NC- GREENSBORO,280,21479,21049,21909,257.6,302.4,01-22-2020
314,NC- GREENVILLE,228,20288,19842,20734,209.76,246.24,01-22-2020
315,NC- HICKORY,280,8435,8256,8614,257.6,302.4,01-22-2020
318,NC- RALEIGH,280,59290,58274,60306,257.6,302.4,01-22-2020
319,NC- WILMINGTON,279,13435,13145,13725,256.68,301.32,01-22-2020
320,NC- WINSTON-SALEM,254,36403,35631,37175,233.68,274.32,01-22-2020
321,ND- BISMARCK,230,7947,7797,8097,211.6,248.4,01-22-2020
322,ND- FARGO MOORHEAD -MN,159,8628,8435,8821,146.28,171.72,01-22-2020
323,ND- GRAND FORKS,147,2087,2040,2134,135.24,158.76,01-22-2020
324,ND- MINOT,184,4379,4292,4466,169.28,198.72,01-22-2020
325,OH- AKRON,280,33964,33382,34546,257.6,302.4,01-22-2020
326,OH- CANTON,280,29610,29103,30117,257.6,302.4,01-22-2020
327,OH- CINCINNATI,280,67116,65966,68266,257.6,302.4,01-22-2020
328,OH- CLEVELAND,280,123564,121446,125682,257.6,302.4,01-22-2020
329,OH- COLUMBUS,280,125370,123221,127519,257.6,302.4,01-22-2020
330,OH- DAYTON,280,45752,44968,46536,257.6,302.4,01-22-2020
331,OH- ELYRIA,280,10150,9976,10324,257.6,302.4,01-22-2020
332,OH- KETTERING,280,16184,15907,16461,257.6,302.4,01-22-2020
334,OH- TOLEDO,280,58646,57641,59651,257.6,302.4,01-22-2020
335,OH- YOUNGSTOWN,280,36400,35776,37024,257.6,302.4,01-22-2020
336,OK- LAWTON,280,9859,9688,10030,257.6,302.4,01-22-2020
339,OK- OKLAHOMA CITY,280,92120,90541,93699,257.6,302.4,01-22-2020
340,OK- TULSA,280,70308,69103,71513,257.6,302.4,01-22-2020
341,OR- BEND,280,5670,5573,5767,257.6,302.4,01-22-2020
342,OR- EUGENE,280,16413,16131,16695,257.6,302.4,01-22-2020
343,OR- MEDFORD,271,10758,10537,10979,249.32,292.68,01-22-2020
344,OR- PORTLAND,280,73304,72048,74560,257.6,302.4,01-22-2020
345,OR- SALEM,280,6104,6000,6208,257.6,302.4,01-22-2020
