region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
423,UT- SALT LAKE CITY,97.44,449,412,557,88.28,122.78,449 [412 - 557],97.44% [88.28% - 122.78%],689,327,1690,10-06-2020
424,VT- BURLINGTON,81.7,12,10,20,80.25,85.56,12 [10 - 20],81.7% [80.25% - 85.56%],27,4,88,10-06-2020
426,VA- ARLINGTON,84.87,91,84,101,82.77,88.85,91 [84 - 101],84.87% [82.77% - 88.85%],141,80,256,10-06-2020
427,VA- CHARLOTTESVILLE,93.04,118,106,143,84.06,109.72,118 [106 - 143],93.04% [84.06% - 109.72%],183,57,417,10-06-2020
428,VA- LYNCHBURG,89.04,42,38,49,83.46,95.69,42 [38 - 49],89.04% [83.46% - 95.69%],68,26,118,10-06-2020
429,VA- NEWPORT NEWS,83.78,26,24,37,81.32,92.55,26 [24 - 37],83.78% [81.32% - 92.55%],43,15,143,10-06-2020
430,VA- NORFOLK,83.62,68,62,82,81.59,87.65,68 [62 - 82],83.62% [81.59% - 87.65%],98,43,207,10-06-2020
431,VA- RICHMOND,82.51,78,69,92,80.55,85.57,78 [69 - 92],82.51% [80.55% - 85.57%],118,26,262,10-06-2020
432,VA- ROANOKE,87.73,145,130,172,82.72,97.04,145 [130 - 172],87.73% [82.72% - 97.04%],216,76,476,10-06-2020
435,VA- WINCHESTER,93.72,87,78,113,85.04,116.33,87 [78 - 113],93.72% [85.04% - 116.33%],128,47,339,10-06-2020
437,WA- EVERETT,84.02,21,19,28,81.34,89.99,21 [19 - 28],84.02% [81.34% - 89.99%],33,11,82,10-06-2020
438,WA- OLYMPIA,91.56,53,48,80,85.33,124.15,53 [48 - 80],91.56% [85.33% - 124.15%],78,36,298,10-06-2020
439,WA- SEATTLE,82.26,81,73,107,80.79,86.52,81 [73 - 107],82.26% [80.79% - 86.52%],123,43,355,10-06-2020
440,WA- SPOKANE,87.56,187,170,225,83.25,97.85,187 [170 - 225],87.56% [83.25% - 97.85%],284,122,671,10-06-2020
441,WA- TACOMA,85.87,48,44,60,82.77,94.26,48 [44 - 60],85.87% [82.77% - 94.26%],72,34,175,10-06-2020
442,WA- YAKIMA,83.11,14,14,17,81.9,85.87,14 [14 - 17],83.11% [81.9% - 85.87%],18,11,34,10-06-2020
443,WV- CHARLESTON,87.3,104,92,133,82.31,99.26,104 [92 - 133],87.3% [82.31% - 99.26%],177,56,467,10-06-2020
444,WV- HUNTINGTON,85.27,57,53,68,82.97,90.67,57 [53 - 68],85.27% [82.97% - 90.67%],87,49,176,10-06-2020
