HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
146,GA- COLUMBUS,83.41,40,37,49,81.59,87.78,40 [37 - 49],83.41% [81.59% - 87.78%],42,20,98,05-26-2020
147,GA- MACON,81.88,39,36,61,80.67,87.78,39 [36 - 61],81.88% [80.67% - 87.78%],42,15,174,05-26-2020
148,GA- ROME,88.54,59,53,73,82.6,100.49,59 [53 - 73],88.54% [82.6% - 100.49%],62,19,150,05-26-2020
149,GA- SAVANNAH,81.58,31,28,45,80.63,85.98,31 [28 - 45],81.58% [80.63% - 85.98%],32,13,123,05-26-2020
151,ID- BOISE,81.39,24,22,34,80.53,84.14,24 [22 - 34],81.39% [80.53% - 84.14%],28,11,86,05-26-2020
152,ID- IDAHO FALLS,80.64,0,0,2,80.0,83.04,0 [0 - 2],80.64% [80.0% - 83.04%],2,0,14,05-26-2020
154,IL- AURORA,87.54,35,33,45,82.66,99.17,35 [33 - 45],87.54% [82.66% - 99.17%],39,14,101,05-26-2020
155,IL- BLUE ISLAND,83.77,92,84,114,81.42,89.27,92 [84 - 114],83.77% [81.42% - 89.27%],95,36,235,05-26-2020
156,IL- CHICAGO,83.74,316,286,389,81.41,89.17,316 [286 - 389],83.74% [81.41% - 89.17%],319,121,785,05-26-2020
158,IL- ELGIN,88.77,92,84,114,83.31,101.45,92 [84 - 114],88.77% [83.31% - 101.45%],95,36,233,05-26-2020
161,IL- EVANSTON,85.31,125,114,154,82.03,93.0,125 [114 - 154],85.31% [82.03% - 93.0%],128,49,314,05-26-2020
163,IL- HINSDALE,85.55,57,52,71,82.0,93.73,57 [52 - 71],85.55% [82.0% - 93.73%],61,22,151,05-26-2020
