HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
424,VT- BURLINGTON,82.54,35,31,67,80.06,95.85,35 [31 - 67],82.54% [80.06% - 95.85%],40,1,251,06-30-2020
426,VA- ARLINGTON,93.58,390,371,404,89.64,96.76,390 [371 - 404],93.58% [89.64% - 96.76%],392,279,485,06-30-2020
427,VA- CHARLOTTESVILLE,87.53,102,93,108,82.85,90.12,102 [93 - 108],87.53% [82.85% - 90.12%],105,40,142,06-30-2020
428,VA- LYNCHBURG,87.2,49,44,52,81.6,89.44,49 [44 - 52],87.2% [81.6% - 89.44%],54,12,71,06-30-2020
429,VA- NEWPORT NEWS,88.21,91,82,96,82.9,91.15,91 [82 - 96],88.21% [82.9% - 91.15%],93,33,127,06-30-2020
430,VA- NORFOLK,88.31,222,200,234,83.1,91.23,222 [200 - 234],88.31% [83.1% - 91.23%],224,84,304,06-30-2020
431,VA- RICHMOND,86.47,301,275,317,82.85,88.7,301 [275 - 317],86.47% [82.85% - 88.7%],303,134,409,06-30-2020
432,VA- ROANOKE,85.53,151,135,160,81.43,87.34,151 [135 - 160],85.53% [81.43% - 87.34%],154,40,205,06-30-2020
435,VA- WINCHESTER,87.66,68,65,71,84.82,89.32,68 [65 - 71],87.66% [84.82% - 89.32%],71,45,87,06-30-2020
437,WA- EVERETT,85.6,42,39,49,81.83,91.45,42 [39 - 49],85.6% [81.83% - 91.45%],46,15,94,06-30-2020
438,WA- OLYMPIA,84.79,28,26,34,81.63,90.22,28 [26 - 34],84.79% [81.63% - 90.22%],32,11,69,06-30-2020
439,WA- SEATTLE,83.69,196,178,230,81.25,87.7,196 [178 - 230],83.69% [81.25% - 87.7%],200,68,419,06-30-2020
440,WA- SPOKANE,83.42,126,113,151,81.04,87.82,126 [113 - 151],83.42% [81.04% - 87.82%],128,39,294,06-30-2020
441,WA- TACOMA,84.75,56,51,65,81.63,89.78,56 [51 - 65],84.75% [81.63% - 89.78%],58,20,120,06-30-2020
