HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
424,VT- BURLINGTON,81.33,16,13,32,80.0,87.83,16 [13 - 32],81.33% [80.0% - 87.83%],05-18-2020
426,VA- ARLINGTON,154.68,2496,2289,2888,113.87,245.74,2496 [2289 - 2888],154.68% [113.87% - 245.74%],05-18-2020
427,VA- CHARLOTTESVILLE,106.26,366,326,510,87.48,173.59,366 [326 - 510],106.26% [87.48% - 173.59%],05-18-2020
428,VA- LYNCHBURG,92.47,91,81,139,83.72,131.06,91 [81 - 139],92.47% [83.72% - 131.06%],05-18-2020
429,VA- NEWPORT NEWS,120.02,452,405,590,92.2,203.44,452 [405 - 590],120.02% [92.2% - 203.44%],05-18-2020
430,VA- NORFOLK,113.54,906,807,1226,90.31,193.93,906 [807 - 1226],113.54% [90.31% - 193.93%],05-18-2020
431,VA- RICHMOND,105.57,1431,1281,1873,88.04,163.62,1431 [1281 - 1873],105.57% [88.04% - 163.62%],05-18-2020
432,VA- ROANOKE,85.89,161,142,263,81.4,108.6,161 [142 - 263],85.89% [81.4% - 108.6%],05-18-2020
435,VA- WINCHESTER,104.49,226,204,281,88.25,144.2,226 [204 - 281],104.49% [88.25% - 144.2%],05-18-2020
437,WA- EVERETT,101.52,171,156,190,87.67,115.44,171 [156 - 190],101.52% [87.67% - 115.44%],05-18-2020
438,WA- OLYMPIA,99.66,126,114,146,86.07,118.37,126 [114 - 146],99.66% [86.07% - 118.37%],05-18-2020
439,WA- SEATTLE,94.42,782,709,869,85.09,104.73,782 [709 - 869],94.42% [85.09% - 104.73%],05-18-2020
440,WA- SPOKANE,88.66,321,286,397,81.92,102.51,321 [286 - 397],88.66% [81.92% - 102.51%],05-18-2020
441,WA- TACOMA,99.85,240,218,266,86.93,113.01,240 [218 - 266],99.85% [86.93% - 113.01%],05-18-2020
