HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
254,MN- ST CLOUD,99.02,131,122,157,89.62,120.59,131 [122 - 157],99.02% [89.62% - 120.59%],134,68,287,10-20-2020
256,MN- ST PAUL,96.34,370,347,424,89.41,109.76,370 [347 - 424],96.34% [89.41% - 109.76%],373,215,680,10-20-2020
257,MS- GULFPORT,88.65,64,60,73,84.79,95.52,64 [60 - 73],88.65% [84.79% - 95.52%],66,37,120,10-20-2020
258,MS- HATTIESBURG,82.98,32,30,36,81.4,84.38,32 [30 - 36],82.98% [81.4% - 84.38%],36,17,53,10-20-2020
259,MS- JACKSON,83.81,168,155,204,81.7,88.7,168 [155 - 204],83.81% [81.7% - 88.7%],170,76,390,10-20-2020
260,MS- MERIDIAN,83.35,28,27,36,81.64,87.87,28 [27 - 36],83.35% [81.64% - 87.87%],32,16,77,10-20-2020
261,MS- OXFORD,81.9,9,8,11,80.47,83.61,9 [8 - 11],81.9% [80.47% - 83.61%],12,3,23,10-20-2020
262,MS- TUPELO,82.33,35,32,41,80.92,84.48,35 [32 - 41],82.33% [80.92% - 84.48%],37,15,73,10-20-2020
263,MO- CAPE GIRARDEAU,86.5,63,58,73,82.63,92.46,63 [58 - 73],86.5% [82.63% - 92.46%],66,27,128,10-20-2020
264,MO- COLUMBIA,91.87,214,196,253,84.56,104.62,214 [196 - 253],91.87% [84.56% - 104.62%],218,84,454,10-20-2020
267,MO- JOPLIN,99.36,180,163,233,87.13,135.03,180 [163 - 233],99.36% [87.13% - 135.03%],184,68,525,10-20-2020
268,MO- KANSAS CITY,84.52,354,324,429,81.93,90.16,354 [324 - 429],84.52% [81.93% - 90.16%],358,153,805,10-20-2020
270,MO- SPRINGFIELD,87.17,138,127,155,83.16,92.35,138 [127 - 155],87.17% [83.16% - 92.35%],140,62,242,10-20-2020
273,MO- ST LOUIS,85.15,627,584,728,82.84,90.27,627 [584 - 728],85.15% [82.84% - 90.27%],628,346,1253,10-20-2020
274,MT- BILLINGS,93.19,288,263,351,85.52,111.55,288 [263 - 351],93.19% [85.52% - 111.55%],291,122,697,10-20-2020
275,MT- GREAT FALLS,87.04,51,47,66,82.61,99.25,51 [47 - 66],87.04% [82.61% - 99.25%],56,21,155,10-20-2020
276,MT- MISSOULA,95.21,172,159,209,86.99,113.82,172 [159 - 209],95.21% [86.99% - 113.82%],176,81,392,10-20-2020
277,NE- LINCOLN,87.49,133,122,159,83.27,96.77,133 [122 - 159],87.49% [83.27% - 96.77%],137,60,308,10-20-2020
278,NE- OMAHA,88.08,438,398,521,83.27,97.1,438 [398 - 521],88.08% [83.27% - 97.1%],441,179,935,10-20-2020
279,NV- LAS VEGAS,89.11,369,344,409,85.19,95.24,369 [344 - 409],89.11% [85.19% - 95.24%],371,212,622,10-20-2020
280,NV- RENO,86.5,122,114,140,83.8,92.34,122 [114 - 140],86.5% [83.8% - 92.34%],124,73,237,10-20-2020
281,NH- LEBANON,81.92,13,12,18,80.72,84.94,13 [12 - 18],81.92% [80.72% - 84.94%],18,7,48,10-20-2020
282,NH- MANCHESTER,85.72,110,103,127,83.04,90.39,110 [103 - 127],85.72% [83.04% - 90.39%],112,60,205,10-20-2020
283,NJ- CAMDEN,84.51,356,332,392,82.44,87.25,356 [332 - 392],84.51% [82.44% - 87.25%],360,195,579,10-20-2020
284,NJ- HACKENSACK,88.56,316,292,363,84.61,95.93,316 [292 - 363],88.56% [84.61% - 95.93%],319,172,594,10-20-2020
285,NJ- MORRISTOWN,88.89,168,155,199,84.36,98.21,168 [155 - 199],88.89% [84.36% - 98.21%],171,84,351,10-20-2020
288,NJ- NEW BRUNSWICK,83.53,94,88,104,81.95,85.89,94 [88 - 104],83.53% [81.95% - 85.89%],97,54,163,10-20-2020
289,NJ- NEWARK,93.67,661,615,767,87.84,105.84,661 [615 - 767],93.67% [87.84% - 105.84%],664,381,1256,10-20-2020
291,NJ- PATERSON,87.09,81,77,92,84.16,92.31,81 [77 - 92],87.09% [84.16% - 92.31%],83,49,145,10-20-2020
292,NJ- RIDGEWOOD,93.25,101,93,115,86.44,104.12,101 [93 - 115],93.25% [86.44% - 104.12%],104,51,191,10-20-2020
293,NM- ALBUQUERQUE,127.1,1579,1460,1878,105.22,176.93,1579 [1460 - 1878],127.1% [105.22% - 176.93%],1582,847,3256,10-20-2020
295,NY- ALBANY,91.07,541,494,690,85.09,108.02,541 [494 - 690],91.07% [85.09% - 108.02%],545,251,1381,10-20-2020
296,NY- BINGHAMTON,126.41,428,393,502,102.82,170.31,428 [393 - 502],126.41% [102.82% - 170.31%],431,212,839,10-20-2020
297,NY- BRONX,86.93,249,214,350,80.33,103.15,249 [214 - 350],86.93% [80.33% - 103.15%],250,12,838,10-20-2020
299,NY- BUFFALO,86.07,215,200,250,83.2,91.35,215 [200 - 250],86.07% [83.2% - 91.35%],218,115,408,10-20-2020
300,NY- ELMIRA,89.35,98,92,113,85.11,97.73,98 [92 - 113],89.35% [85.11% - 97.73%],100,55,191,10-20-2020
301,NY- EAST LONG ISLAND,87.32,817,724,974,81.9,94.84,817 [724 - 974],87.32% [81.9% - 94.84%],800,208,1623,10-20-2020
304,NY- ROCHESTER,101.25,626,576,747,90.74,123.92,626 [576 - 747],101.25% [90.74% - 123.92%],629,318,1300,10-20-2020
307,NY- SYRACUSE,92.11,338,312,410,86.51,106.37,338 [312 - 410],92.11% [86.51% - 106.37%],342,184,745,10-20-2020
308,NY- WHITE PLAINS,89.85,289,266,329,84.75,98.22,289 [266 - 329],89.85% [84.75% - 98.22%],292,141,541,10-20-2020
309,NC- ASHEVILLE,84.64,86,81,99,82.77,89.11,86 [81 - 99],84.64% [82.77% - 89.11%],87,52,171,10-20-2020
311,NC- CHARLOTTE,86.05,345,323,384,83.52,90.27,345 [323 - 384],86.05% [83.52% - 90.27%],350,204,595,10-20-2020
312,NC- DURHAM,85.4,245,228,276,82.73,89.49,245 [228 - 276],85.4% [82.73% - 89.49%],249,126,438,10-20-2020
313,NC- GREENSBORO,87.77,138,130,153,84.46,92.76,138 [130 - 153],87.77% [84.46% - 92.76%],139,80,229,10-20-2020
314,NC- GREENVILLE,86.98,171,158,193,83.43,92.51,171 [158 - 193],86.98% [83.43% - 92.51%],175,86,314,10-20-2020
315,NC- HICKORY,93.0,91,85,108,87.09,106.2,91 [85 - 108],93.0% [87.09% - 106.2%],97,53,196,10-20-2020
318,NC- RALEIGH,85.71,238,223,264,83.14,89.54,238 [223 - 264],85.71% [83.14% - 89.54%],241,133,404,10-20-2020
319,NC- WILMINGTON,84.32,49,46,53,82.05,86.57,49 [46 - 53],84.32% [82.05% - 86.57%],52,25,80,10-20-2020
320,NC- WINSTON-SALEM,86.67,242,227,273,83.91,91.79,242 [227 - 273],86.67% [83.91% - 91.79%],245,144,434,10-20-2020
321,ND- BISMARCK,87.69,61,53,83,80.72,103.99,61 [53 - 83],87.69% [80.72% - 103.99%],64,6,201,10-20-2020
322,ND- FARGO MOORHEAD -MN,91.74,236,216,288,85.03,107.11,236 [216 - 288],91.74% [85.03% - 107.11%],238,102,550,10-20-2020
