HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
207,KY- OWENSBORO,80,0,0,69,76.8,83.2,04-21-2020
208,KY- PADUCAH,80,0,0,0,76.8,83.2,04-21-2020
209,LA- ALEXANDRIA,80,0,0,116,76.8,83.2,04-21-2020
210,LA- BATON ROUGE,148,11680,11032,12341,142.08,153.92,04-21-2020
212,LA- HOUMA,173,4580,4234,4882,166.08,179.92,04-21-2020
213,LA- LAFAYETTE,87,1070,1064,1412,83.52,90.48,04-21-2020
214,LA- LAKE CHARLES,94,850,724,882,90.24,97.76,04-21-2020
216,LA- METAIRIE,418,23196,22151,24414,401.28,434.72,04-21-2020
217,LA- MONROE,80,0,0,68,76.8,83.2,04-21-2020
218,LA- NEW ORLEANS,354,43838,42083,46280,339.84,368.16,04-21-2020
219,LA- SHREVEPORT,96,3094,2942,3184,92.16,99.84,04-21-2020
221,ME- BANGOR,80,40,35,80,76.8,83.2,04-21-2020
222,ME- PORTLAND,104,4350,4118,4635,99.84,108.16,04-21-2020
223,MD- BALTIMORE,123,20451,19508,21707,118.08,127.92,04-21-2020
225,MD- SALISBURY,107,1754,1721,2074,102.72,111.28,04-21-2020
226,MD- TAKOMA PARK,203,10876,10391,11541,194.88,211.12,04-21-2020
227,MA- BOSTON,225,109357,104336,115863,216.0,234.0,04-21-2020
230,MA- SPRINGFIELD,162,9115,8644,9707,155.52,168.48,04-21-2020
231,MA- WORCESTER,218,15792,15017,16701,209.28,226.72,04-21-2020
232,MI- ANN ARBOR,203,27736,26466,29346,194.88,211.12,04-21-2020
233,MI- DEARBORN,192,12589,12023,13322,184.32,199.68,04-21-2020
234,MI- DETROIT,203,39337,37500,41682,194.88,211.12,04-21-2020
235,MI- FLINT,148,6310,5995,6707,142.08,153.92,04-21-2020
238,MI- KALAMAZOO,83,223,170,445,79.68,86.32,04-21-2020
239,MI- LANSING,113,3545,3212,3914,108.48,117.52,04-21-2020
240,MI- MARQUETTE,80,0,0,0,76.8,83.2,04-21-2020
242,MI- MUSKEGON,85,217,217,294,81.6,88.4,04-21-2020
243,MI- PETOSKEY,80,0,0,0,76.8,83.2,04-21-2020
244,MI- PONTIAC,210,10592,10112,11217,201.6,218.4,04-21-2020
245,MI- ROYAL OAK,178,17711,16906,18754,170.88,185.12,04-21-2020
246,MI- SAGINAW,88,1225,1053,1355,84.48,91.52,04-21-2020
248,MI- ST JOSEPH,122,886,758,896,117.12,126.88,04-21-2020
249,MI- TRAVERSE CITY,80,0,0,0,76.8,83.2,04-21-2020
250,MN- DULUTH,80,0,0,0,76.8,83.2,04-21-2020
251,MN- MINNEAPOLIS,90,6338,5994,6794,86.4,93.6,04-21-2020
253,MN- ROCHESTER,82,446,443,528,78.72,85.28,04-21-2020
254,MN- ST CLOUD,89,459,431,461,85.44,92.56,04-21-2020
