hrr,HRRCITY,DHS_Beds,Total_Pop,Over65_Pop
275,MT- GREAT FALLS,805,144445,24878
276,MT- MISSOULA,1159,397648,67017
277,NE- LINCOLN,1837,605621,82294
278,NE- OMAHA,5467,1397267,183495
279,NV- LAS VEGAS,4082,2335506,333510
280,NV- RENO,1921,806446,131918
281,NH- LEBANON,971,384757,73783
282,NH- MANCHESTER,1974,905604,143030
283,NJ- CAMDEN,7987,2737406,461415
284,NJ- HACKENSACK,3729,1316171,191561
285,NJ- MORRISTOWN,1928,1069592,158668
288,NJ- NEW BRUNSWICK,2766,1118727,157252
289,NJ- NEWARK,4861,1591713,204368
291,NJ- PATERSON,1178,388331,51627
292,NJ- RIDGEWOOD,792,477345,68542
293,NM- ALBUQUERQUE,3359,1733627,267982
295,NY- ALBANY,4929,1851897,317855
296,NY- BINGHAMTON,929,349158,65528
297,NY- BRONX,3620,1288037,161848
299,NY- BUFFALO,3595,1395523,236759
300,NY- ELMIRA,1077,327387,57643
301,NY- EAST LONG ISLAND,10939,4578440,691640
304,NY- ROCHESTER,2960,1322162,211784
307,NY- SYRACUSE,2825,1048658,163129
308,NY- WHITE PLAINS,2969,1165864,172199
309,NC- ASHEVILLE,1878,673894,138220
311,NC- CHARLOTTE,5792,2784716,365318
312,NC- DURHAM,4617,1440585,225493
313,NC- GREENSBORO,1794,679209,104062
314,NC- GREENVILLE,2509,847524,121754
315,NC- HICKORY,748,301308,51161
318,NC- RALEIGH,4235,2281270,277260
319,NC- WILMINGTON,1217,500103,93674
320,NC- WINSTON-SALEM,3682,1147275,184377
321,ND- BISMARCK,838,244977,35527
322,ND- FARGO MOORHEAD -MN,2029,567597,78329
323,ND- GRAND FORKS,587,166093,21847
324,ND- MINOT,700,147076,19405
325,OH- AKRON,2426,700773,114550
326,OH- CANTON,2115,632439,113174
327,OH- CINCINNATI,4794,1769134,253262
328,OH- CLEVELAND,8826,2110857,362832
329,OH- COLUMBUS,8955,3217793,442873
330,OH- DAYTON,3268,1080191,178562
331,OH- ELYRIA,725,226934,39893
332,OH- KETTERING,1156,427604,68853
334,OH- TOLEDO,4189,984443,153264
335,OH- YOUNGSTOWN,2600,612350,120753
336,OK- LAWTON,713,191015,25804
339,OK- OKLAHOMA CITY,6580,2011551,272929
340,OK- TULSA,5022,1421284,206514
341,OR- BEND,405,251278,45211
342,OR- EUGENE,1175,772542,144915
343,OR- MEDFORD,965,443369,93640
344,OR- PORTLAND,5236,2944277,414083
345,OR- SALEM,436,354264,53278
346,PA- ALLENTOWN,3157,1227898,206245
347,PA- ALTOONA,695,283857,55202
350,PA- DANVILLE,1519,582590,97077
351,PA- ERIE,2226,684243,122652
352,PA- HARRISBURG,2291,1082958,185668
354,PA- JOHNSTOWN,740,199793,41459
355,PA- LANCASTER,1191,678224,110891
356,PA- PHILADELPHIA,12454,4449008,653930
357,PA- PITTSBURGH,11672,2886307,539065
358,PA- READING,1424,587704,98658
359,PA- SAYRE,471,183706,35078
360,PA- SCRANTON,882,305615,59137
362,PA- WILKES-BARRE,655,249351,47990
363,PA- YORK,831,434255,71814
364,RI- PROVIDENCE,3132,1224328,193202
365,SC- CHARLESTON,2977,1221416,197197
366,SC- COLUMBIA,3748,1297813,188557
367,SC- FLORENCE,1341,360900,59275
368,SC- GREENVILLE,2392,1010921,161283
369,SC- SPARTANBURG,1061,397561,61562
370,SD- RAPID CITY,688,224822,35385
371,SD- SIOUX FALLS,2774,807375,117290
373,TN- CHATTANOOGA,2241,739564,120638
374,TN- JACKSON,1350,325004,52855
375,TN- JOHNSON CITY,940,283747,48792
376,TN- KINGSPORT,1986,453226,80480
377,TN- KNOXVILLE,4175,1431219,250050
379,TN- MEMPHIS,6318,1835427,244477
380,TN- NASHVILLE,8554,3091690,407043
382,TX- ABILENE,1328,295409,40650
383,TX- AMARILLO,1502,453666,56709
385,TX- AUSTIN,3498,2151705,220043
386,TX- BEAUMONT,1370,473514,65706
388,TX- BRYAN,612,316560,29245
390,TX- CORPUS CHRISTI,2052,588063,75927
391,TX- DALLAS,12245,5814147,619363
393,TX- EL PASO,2745,1179348,140326
394,TX- FORT WORTH,5007,2377823,272530
396,TX- HARLINGEN,1418,629191,73181
397,TX- HOUSTON,17066,7528755,779073
399,TX- LONGVIEW,686,222139,31352
400,TX- LUBBOCK,2390,743553,90451
402,TX- MCALLEN,1586,744142,77057
406,TX- ODESSA,1292,421304,43155
411,TX- SAN ANGELO,687,163207,22559
412,TX- SAN ANTONIO,7236,3125124,375991
413,TX- TEMPLE,939,538175,56620
416,TX- TYLER,1604,579237,92698
417,TX- VICTORIA,767,148536,20349
418,TX- WACO,597,366488,50511
420,TX- WICHITA FALLS,690,197888,26156
421,UT- OGDEN,730,521465,53303
422,UT- PROVO,902,701067,53749
423,UT- SALT LAKE CITY,3950,2292459,260349
424,VT- BURLINGTON,1584,647743,104299
426,VA- ARLINGTON,2893,2574066,281299
427,VA- CHARLOTTESVILLE,1403,613275,97636
