HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
367,SC- FLORENCE,87.42,93,78,167,83.92,90.92,05-05-2020
368,SC- GREENVILLE,90.23,233,198,433,86.62,93.84,05-05-2020
369,SC- SPARTANBURG,88.94,88,75,166,85.38,92.5,05-05-2020
371,SD- SIOUX FALLS,91.67,312,266,561,88.0,95.34,05-05-2020
373,TN- CHATTANOOGA,86.42,137,116,267,82.96,89.88,05-05-2020
374,TN- JACKSON,82.74,32,27,73,79.43,86.05,05-05-2020
375,TN- JOHNSON CITY,83.12,24,20,57,79.8,86.44,05-05-2020
376,TN- KINGSPORT,83.57,60,47,177,80.23,86.91,05-05-2020
377,TN- KNOXVILLE,83.66,142,118,318,80.31,87.01,05-05-2020
379,TN- MEMPHIS,89.18,561,477,921,85.61,92.75,05-05-2020
380,TN- NASHVILLE,92.59,1052,896,1563,88.89,96.29,05-05-2020
382,TX- ABILENE,81.19,14,12,57,77.94,84.44,05-05-2020
383,TX- AMARILLO,82.16,28,23,93,78.87,85.45,05-05-2020
385,TX- AUSTIN,98.93,641,546,1060,94.97,102.89,05-05-2020
386,TX- BEAUMONT,86.12,77,65,167,82.68,89.56,05-05-2020
388,TX- BRYAN,94.43,82,70,142,90.65,98.21,05-05-2020
390,TX- CORPUS CHRISTI,83.5,65,55,157,80.16,86.84,05-05-2020
391,TX- DALLAS,93.92,1654,1408,2771,90.16,97.68,05-05-2020
393,TX- EL PASO,86.52,169,143,389,83.06,89.98,05-05-2020
394,TX- FORT WORTH,94.44,698,594,1173,90.66,98.22,05-05-2020
396,TX- HARLINGEN,84.2,54,45,140,80.83,87.57,05-05-2020
397,TX- HOUSTON,91.5,1900,1615,3391,87.84,95.16,05-05-2020
399,TX- LONGVIEW,85.63,35,30,77,82.2,89.06,05-05-2020
400,TX- LUBBOCK,83.94,88,75,222,80.58,87.3,05-05-2020
402,TX- MCALLEN,84.26,60,51,158,80.89,87.63,05-05-2020
406,TX- ODESSA,82.62,30,25,91,79.32,85.92,05-05-2020
411,TX- SAN ANGELO,81.4,7,6,30,78.14,84.66,05-05-2020
412,TX- SAN ANTONIO,97.15,1214,1040,1725,93.26,101.04,05-05-2020
413,TX- TEMPLE,94.09,124,105,235,90.33,97.85,05-05-2020
416,TX- TYLER,87.55,113,96,229,84.05,91.05,05-05-2020
417,TX- VICTORIA,83.65,24,20,54,80.3,87.0,05-05-2020
418,TX- WACO,97.13,95,81,166,93.24,101.02,05-05-2020
420,TX- WICHITA FALLS,84.51,26,22,65,81.13,87.89,05-05-2020
421,UT- OGDEN,92.16,83,71,122,88.47,95.85,05-05-2020
422,UT- PROVO,91.8,100,85,152,88.13,95.47,05-05-2020
423,UT- SALT LAKE CITY,88.55,325,276,500,85.01,92.09,05-05-2020
424,VT- BURLINGTON,102.06,339,288,490,97.98,106.14,05-05-2020
426,VA- ARLINGTON,170.97,2566,2192,3913,164.13,177.81,05-05-2020
427,VA- CHARLOTTESVILLE,104.62,333,281,648,100.44,108.8,05-05-2020
428,VA- LYNCHBURG,89.67,67,56,168,86.08,93.26,05-05-2020
429,VA- NEWPORT NEWS,120.35,445,379,744,115.54,125.16,05-05-2020
430,VA- NORFOLK,109.83,776,660,1474,105.44,114.22,05-05-2020
431,VA- RICHMOND,109.02,1319,1120,2341,104.66,113.38,05-05-2020
432,VA- ROANOKE,85.28,137,113,375,81.87,88.69,05-05-2020
435,VA- WINCHESTER,106.74,239,202,416,102.47,111.01,05-05-2020
437,WA- EVERETT,131.67,387,338,413,126.4,136.94,05-05-2020
438,WA- OLYMPIA,121.16,273,237,310,116.31,126.01,05-05-2020
439,WA- SEATTLE,113.68,1718,1497,1856,109.13,118.23,05-05-2020
440,WA- SPOKANE,99.19,705,603,962,95.22,103.16,05-05-2020
441,WA- TACOMA,125.76,525,457,563,120.73,130.79,05-05-2020
442,WA- YAKIMA,107.82,155,134,204,103.51,112.13,05-05-2020
443,WV- CHARLESTON,81.81,37,31,133,78.54,85.08,05-05-2020
444,WV- HUNTINGTON,83.49,51,43,130,80.15,86.83,05-05-2020
445,WV- MORGANTOWN,82.9,45,37,117,79.58,86.22,05-05-2020
446,WI- APPLETON,90.58,60,51,107,86.96,94.2,05-05-2020
447,WI- GREEN BAY,85.29,78,66,152,81.88,88.7,05-05-2020
448,WI- LA CROSSE,89.22,83,70,142,85.65,92.79,05-05-2020
449,WI- MADISON,93.7,404,347,532,89.95,97.45,05-05-2020
450,WI- MARSHFIELD,84.35,47,39,97,80.98,87.72,05-05-2020
451,WI- MILWAUKEE,92.35,1001,861,1344,88.66,96.04,05-05-2020
452,WI- NEENAH,91.11,58,50,90,87.47,94.75,05-05-2020
456,WI- WAUSAU,83.59,18,15,43,80.25,86.93,05-05-2020
457,WY- CASPER,83.54,21,18,37,80.2,86.88,05-05-2020
303,NY- NEW YORK,114.39,4874,4245,5136,109.81,118.97,05-05-2020
